gene,ligand,tf,pair,cell_type,mean,std,n
CD4,IL22,KLF16,IL22#KLF16,IEC,0.0,0.0,2721
CD4,BMP6,KLF5,BMP6#KLF5,IEC,0.0,0.0,2721
CD4,EBI3,MAX,EBI3#MAX,IEC,0.0,0.0,2721
CD4,PDGFD,MEF2A,PDGFD#MEF2A,IEC,0.0,0.0,2721
CD4,SHH,MEF2A,SHH#MEF2A,IEC,0.0,0.0,2721
CD4,IL26,MEF2A,IL26#MEF2A,IEC,0.0,0.0,2721
CD4,VEGFA,MEF2C,VEGFA#MEF2C,IEC,0.0,0.0,2721
CD4,ADM,NF1,ADM#NF1,IEC,0.0,0.0,2721
CD4,CSF1,NFATC1,CSF1#NFATC1,IEC,0.0,0.0,2721
CD4,ANGPTL4,NFATC2,ANGPTL4#NFATC2,IEC,0.0,0.0,2721
CD4,IL18,NFATC4,IL18#NFATC4,IEC,0.0,0.0,2721
CD4,TGFB1,NFATC4,TGFB1#NFATC4,IEC,0.0,0.0,2721
CD4,BMP2,REST,BMP2#REST,IEC,0.0,0.0,2721
CD4,BMP2,RXRA,BMP2#RXRA,IEC,0.0,0.0,2721
CD4,BMP6,RXRA,BMP6#RXRA,IEC,0.0,0.0,2721
CD4,CXCL12,RXRA,CXCL12#RXRA,IEC,0.0,0.0,2721
CD4,IL18,SIN3A,IL18#SIN3A,IEC,0.0,0.0,2721
CD4,CXCL12,SIN3A,CXCL12#SIN3A,IEC,0.0,0.0,2721
CD4,EBI3,SMC3,EBI3#SMC3,IEC,0.0,0.0,2721
CD4,CNTF,SP3,CNTF#SP3,IEC,0.0,0.0,2721
CD4,PDGFC,TBX2,PDGFC#TBX2,IEC,0.0,0.0,2721
CD4,BMP4,TBX2,BMP4#TBX2,IEC,0.0,0.0,2721
CD4,BMP4,TFAP2A,BMP4#TFAP2A,IEC,0.0,0.0,2721
CD4,IL7,USF1,IL7#USF1,IEC,0.0,0.0,2721
CD4,BMP6,VDR,BMP6#VDR,IEC,0.0,0.0,2721
CD4,SHH,ZFX,SHH#ZFX,IEC,0.0,0.0,2721
CD4,EBI3,ZFX,EBI3#ZFX,IEC,0.0,0.0,2721
CD4,IL26,CTCF,IL26#CTCF,MAST,0.0,0.0,52
CD4,EBI3,CTCF,EBI3#CTCF,MAST,0.0,0.0,52
CD4,IL18,E2F1,IL18#E2F1,MAST,0.0,0.0,52
CD4,CSF1,EGR2,CSF1#EGR2,MAST,0.0,0.0,52
CD4,IL18,ELK1,IL18#ELK1,MAST,0.0,0.0,52
CD4,ADM,ELK1,ADM#ELK1,MAST,0.0,0.0,52
CD4,VEGFA,ETS1,VEGFA#ETS1,MAST,0.0,0.0,52
CD4,TGFB1,ETS1,TGFB1#ETS1,MAST,0.0,0.0,52
CD4,BMP2,FOXO1,BMP2#FOXO1,MAST,0.0,0.0,52
CD4,PDGFD,FOXO1,PDGFD#FOXO1,MAST,0.0,0.0,52
CD4,IGF1,FOXO3,IGF1#FOXO3,MAST,0.0,0.0,52
CD4,IL12A,FOXO3,IL12A#FOXO3,MAST,0.0,0.0,52
CD4,PDGFA,FOXO4,PDGFA#FOXO4,MAST,0.0,0.0,52
CD4,VEGFA,FOXO4,VEGFA#FOXO4,MAST,0.0,0.0,52
CD4,BMP4,GATA2,BMP4#GATA2,MAST,0.0,0.0,52
CD4,IFNG,HDAC2,IFNG#HDAC2,MAST,0.0,0.0,52
CD4,IL26,HDAC2,IL26#HDAC2,MAST,0.0,0.0,52
