,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
16,ADP,10302.05018058272,2.354203558458431,0.009281221447420954,0.013545566436776527,10492.69982877704,0.000999001,0.0013051464301233572,True
17,Acetate,45298.71258022264,7.154432076972252,4.201001766684232e-13,1.3889026249037665e-12,62451.56461751042,0.000999001,0.0013051464301233572,True
18,Acetyl-L-Carnitine,18508.145574914197,4.252952330886159,1.054852493493039e-05,1.8574576515855687e-05,23574.06375485246,0.000999001,0.0013051464301233572,True
19,Acetylcholine,-305.7307298948783,-0.12101156429930053,0.5481590622375161,0.5481590622375161,63.295511239147345,0.43856144,0.43856143951416016,False
20,Adenine,9748.736898781166,3.858656610898908,5.7005999008502076e-05,9.423440652425853e-05,17870.203515458026,0.000999001,0.0013051464301233572,True
21,Adenosine,46811.012432002215,18.528310329741206,6.1029968329042465e-77,5.815796981944047e-76,198049.2600980311,0.000999001,0.0013051464301233572,True
22,Adenosine diphosphate ribose,40638.02091334404,16.084972820502312,1.6259750033864725e-58,1.386357634466361e-57,20558.36568159898,0.000999001,0.0013051464301233572,True
23,Adenosine triphosphate,46345.75444426669,7.491627456783048,3.4012389607744466e-14,1.1479181492613757e-13,283951.07512655784,0.000999001,0.0013051464301233572,True
24,Adenosylcobalamin,-304.37570508799894,-0.12047523067133578,0.5479466501114097,0.5481590622375161,238.765592956619,0.4115884,0.41414485029552295,False
25,Amiloride-sensitive sodium transport,40267.1607538839,9.45823339438651,1.5659479124353384e-21,6.67588320564539e-21,33919.56025371224,0.000999001,0.0013051464301233572,True
26,Ammonium,966.883456247112,0.38270303929149585,0.35096998034437943,0.3716152733058135,410.42287674131876,0.03196803,0.03475718815254685,True
27,Anion exchange,1140.5051745853366,0.26012483711725287,0.3973837399797528,0.4153301024304513,4547.333007715416,0.0049950047,0.005949932116302936,True
28,Arachidonic acid,60559.93462119327,23.970283997600642,2.839315516828836e-127,4.5996911372627146e-126,127581.76460565013,0.000999001,0.0013051464301233572,True
29,Betaine,3700.032873458171,1.4645134498908934,0.07152685543681661,0.0884530578684297,527.1021149234598,0.002997003,0.0037347268528090073,True
