,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
119,SLC12A2,SLC12A2,19532.753450328848,7.731277293942871,5.3236406950885486e-15,6.920732903615113e-14,0.012632245621946423,19595.18363530965,0.000999001,0.002838221302299162,0.029149237567593803,True
120,SLC5A3,SLC5A5,-520.8452504385299,-0.20363553545091798,0.5806808391654028,0.8167609180392059,-0.0002966911107006755,6309.759536620968,0.000999001,0.002838221302299162,0.00541538022399593,True
121,SLC29A1,SLC5A1,804.8349437467516,0.322859874564445,0.37340068284850525,0.6762065203665834,0.0006360651490565227,10766.186502378001,0.000999001,0.002838221302299162,0.0058007297021240006,True
122,SLC5A5,SLC6A4,3467.6601318203625,1.4031852938397704,0.08028079588923082,0.26511711294954815,0.0021893786061708245,1076.52006749212,0.002997003,0.0071827614518642086,0.0077705196793468,True
123,SLC5A1,SLC6A4,3071.9133005263866,1.2322993063194796,0.10891864942546847,0.33139078442217007,0.0018114384315089562,750.9590970939477,0.005994006,0.01339285729045514,0.006975127308211132,True
124,SLC10A1,SLC12A2,298.3147846728924,0.11277256357881904,0.45510543532356,0.7670651163451175,0.00015798675524448762,1892.076260249175,0.019980019,0.03913894124737341,0.026472111529267508,True
125,SLC12A2,SLC6A4,602.2710652731639,0.24370839977702152,0.40372833370692074,0.7098338326240533,0.00038950146208873826,3891.660392403779,0.001998002,0.005071851084581935,0.0057891232571130975,True
126,SLC10A1,SLC10A1,5959.798424160195,2.3589533523964326,0.009163279650839863,0.048531444076670385,0.003156294167507412,304.18963931431017,0.001998002,0.005071851084581935,0.004255928911087128,True
128,SLC12A2,SLC5A3,-2887.9401149228142,-1.1291016499763569,0.8705725223155298,0.9785116715571595,-0.0018676920776145352,30988.024579634228,0.000999001,0.002838221302299162,0.046096903557184765,True
129,SLC10A1,SLC29A1,659.0207564427091,0.24913099844243214,0.4016297259729012,0.7090500100509243,0.00034901572532959455,6313.139824097607,0.000999001,0.002838221302299162,0.08832738142455375,True
130,SLC22A5,SLC6A2,5344.792060299607,2.178885644932226,0.014670082216365067,0.0715166508047797,0.004231731102575203,3133.993978254762,0.000999001,0.002838221302299162,0.0060125659367584,True
131,SLC22A4,SLC6A2,2576.4664761808294,1.0503356830845234,0.14678190242920136,0.39002944340561,0.001651344463100557,1324.4843037048308,0.000999001,0.002838221302299162,0.004453430245929502,True
132,SLC22A5,SLC5A1,4046.7061846482607,1.6233378798048423,0.05225859809688184,0.1983976865801974,0.0032039735561947276,4095.2207602886074,0.000999001,0.002838221302299162,0.007856679054797958,True
133,SLC5A3,SLC6A4,4509.256182939047,1.7629896721243627,0.03895111578512357,0.1597735764539488,0.0025686251803652914,6640.699837650023,0.000999001,0.002838221302299162,0.005699411263707431,True
134,SLC29A1,SLC6A2,2890.5783335297415,1.1783881515732935,0.11932094954353317,0.35547699551510925,0.0022844387571157453,9139.321561419803,0.000999001,0.002838221302299162,0.004924188711284207,True
137,SLC22A5,SLC5A7,2778.999651957485,1.095436695493741,0.13666268255868502,0.3831914432527835,0.002200268809068493,2753.972553695663,0.000999001,0.002838221302299162,0.005283495016904609,True
138,SLC12A2,SLC29A1,6120.413791126433,2.515981065164929,0.005935077989246914,0.03350195338667008,0.003958201311149798,83192.44069351806,0.000999001,0.002838221302299162,0.12375470741869347,True
139,SLC1A5,SLC29A1,81557.08354810101,33.537932549965404,6.750086874011593e-247,7.239468172377433e-245,0.06153776936766113,546008.6790539683,0.000999001,0.002838221302299162,0.18286582908454815,True
141,SLC22A5,SLC5A5,4856.751772506141,1.9947136075856235,0.023037062204201462,0.10218189233864691,0.0038453259362253647,6000.130500994986,0.000999001,0.002838221302299162,0.011511247474214175,True
142,SLC22A4,SLC5A5,17.149313347490306,0.007043384199422851,0.4971901194784407,0.7909687544848157,1.0991574664046587e-05,1698.8943570135252,0.025974026,0.049523809477686885,0.005712342149317833,True
143,SLC1A5,SLC6A4,7384.017809444192,2.987935612428061,0.0014043435950894707,0.008991991079005715,0.005571508509083504,24307.687669939085,0.000999001,0.002838221302299162,0.008140979492474889,True
147,SLC29A1,SLC5A7,3552.054350864986,1.4001623489174992,0.08073235390417732,0.26511711294954815,0.002807206617572917,8105.320710766411,0.000999001,0.002838221302299162,0.004367077848948522,True
148,SLC29A1,SLC5A5,3668.459259298531,1.506670702180097,0.06594754242117476,0.23381401403871052,0.0028992020086887767,16895.97740779863,0.000999001,0.002838221302299162,0.00910340889730878,True
149,SLC1A5,SLC5A3,-5985.76018513133,-2.3402603352026925,0.9903648489712367,1.0,-0.004516472558088636,169492.5918230431,0.000999001,0.002838221302299162,0.05676540413443896,True
150,SLC10A1,SLC1A5,-1597.628299058721,-0.6039547759206046,0.7270631451773666,0.9093588608778141,-0.0008460999052789922,9237.021748326393,0.000999001,0.002838221302299162,0.12923552557430407,True
151,SLC5A7,SLC6A4,4356.693357274485,1.7173380252892905,0.04295871406073322,0.17064155863013472,0.0024985810872885867,713.8605814769733,0.001998002,0.005071851084581935,0.00912221972293511,True
152,SLC12A2,SLC6A2,1144.0980639554546,0.46640894908969605,0.3204614035237071,0.6463923166606523,0.0007399124652973772,2499.6325755225425,0.001998002,0.005071851084581935,0.0037183822888144907,True
153,SLC12A2,SLC5A1,1071.8874063658614,0.42998808172447356,0.33360215544546723,0.6559039125206473,0.0006932123026442387,3134.3620576989742,0.003996004,0.009216589605315559,0.004662587804387054,True
154,SLC1A5,SLC5A1,-2486.288386138319,-0.997375626787196,0.8407088913150982,0.9710795481746751,-0.001875994513676265,15602.79371493363,0.000999001,0.002838221302299162,0.005225590577900867,True
155,SLC5A7,SLC6A2,2446.846724450837,0.9645073860747336,0.1673958035794818,0.42167798022039205,0.0014032763951584467,389.45322090994006,0.007992008,0.01722900167425823,0.004976711062536596,True
156,SLC5A5,SLC5A7,2387.8724615854694,0.941260685922428,0.1732856421782652,0.43220663078183585,0.001507632433088318,601.7557913480529,0.012987013,0.026915113846568958,0.004343583886665614,True
158,SLC5A5,SLC5A5,5643.3807263234985,2.2337117693852395,0.012751022049571147,0.06435515834430613,0.003563064590820603,936.0427601711019,0.000999001,0.002838221302299162,0.006756528659576414,True
160,SLC5A3,SLC5A3,6768.787309943974,2.679159995029654,0.0036903558950916278,0.0216871599862234,0.0038557307057961302,28332.36925215347,0.000999001,0.002838221302299162,0.02431638658439718,True
161,SLC6A2,SLC6A4,3130.670051941472,1.2668225863423321,0.10260936703964846,0.3189812931884724,0.001908834528875971,690.7699943996674,0.000999001,0.002838221302299162,0.009149806926649075,True
162,SLC6A4,SLC6A4,3419.0227644869374,1.3532865775309635,0.08798204778246704,0.28379171803517567,0.002066278814655874,555.7070554978554,0.002997003,0.0071827614518642086,0.004404399538461719,True
163,SLC12A2,SLC5A7,947.9053921572847,0.37364896742396575,0.35433274880557786,0.6667050405157583,0.0006130305064541053,2292.889398486873,0.005994006,0.01339285729045514,0.003410837021821814,True
165,SLC12A2,SLC1A5,-248.88145173768467,-0.10231024264252044,0.5407447872406359,0.7982151228698199,-0.00016095690948498133,119102.30580129998,0.000999001,0.002838221302299162,0.17717320088771074,True
166,SLC12A2,SLC5A5,-3030.8494920933053,-1.2447983771060327,0.8933970635725472,0.9954995851236954,-0.0019601146005674697,3779.4535163161127,0.005994006,0.01339285729045514,0.005622207501248314,True
167,SLC10A1,SLC22A5,-180.98747276489462,-0.06841907383748766,0.527273980659721,0.7982151228698199,-9.585050768898097e-05,2107.4893137148456,0.000999001,0.002838221302299162,0.029485963822648283,True
170,SLC12A2,SLC22A4,-1653.0021166956124,-0.6795164784958566,0.7515946649048452,0.9186157015503662,-0.0010690315016158036,8383.901384555247,0.000999001,0.002838221302299162,0.012471653124051862,True
171,SLC1A5,SLC6A2,7432.877550885574,3.030125403092993,0.0012222610853078757,0.00794469705450119,0.0056083749512045,14506.813696520134,0.000999001,0.002838221302299162,0.004858531770201086,True
172,SLC5A1,SLC5A5,2603.419609709467,1.0443628661504762,0.14815876859680066,0.39002944340561,0.0015351782010135763,822.5253567981172,0.007992008,0.01722900167425823,0.007639855619434498,True
173,SLC22A5,SLC29A1,36167.109785783745,15.669965017462067,1.2135646987581337e-55,3.0624662103955255e-54,0.02863525496297301,111404.21039446222,0.000999001,0.002838221302299162,0.2137289239471409,True
174,SLC12A2,SLC22A5,-123.17545358772071,-0.05063499290997609,0.5201918108654118,0.7982151228698199,-7.966017634285726e-05,23980.708607710876,0.000999001,0.002838221302299162,0.03567301972030536,True
175,SLC1A5,SLC22A5,52277.13403195936,21.497421423061386,8.229101728386563e-103,3.530284641477835e-101,0.03944498843394369,175624.7840793815,0.000999001,0.002838221302299162,0.05881915980551013,True
