gene,tf,cell_type,mean,std,n
CD3G,EBF1,Effector CD8 T cell,0.011861572,0.0014587318,2432
CD3G,EP300,Effector CD8 T cell,0.043666,0.0038443115,2432
CD3G,ETS1,Effector CD8 T cell,0.07686021,0.004990865,2432
CD3G,FOXA1,Effector CD8 T cell,0.046638932,0.0039665075,2432
CD3G,HNF4A,Effector CD8 T cell,-0.008642333,0.002483944,2432
CD3G,IRF1,Effector CD8 T cell,0.010788429,0.0010299974,2432
CD3G,IRF3,Effector CD8 T cell,-0.10067182,0.022279829,2432
CD3G,IRF4,Effector CD8 T cell,-0.20122741,0.018012745,2432
CD3G,IRF8,Effector CD8 T cell,-0.000100245874,0.0011854799,2432
CD3G,LMO2,Effector CD8 T cell,-0.06873993,0.0065245926,2432
CD3G,MAFF,Effector CD8 T cell,-0.008415578,0.008001625,2432
CD3G,MAX,Effector CD8 T cell,0.19937298,0.014892319,2432
CD3G,MYC,Effector CD8 T cell,-0.028307984,0.0025841875,2432
CD3G,NHLH2,Effector CD8 T cell,-0.05986171,0.0060216854,2432
CD3G,NR3C1,Effector CD8 T cell,0.25318423,0.020177126,2432
CD3G,NR4A1,Effector CD8 T cell,-0.030901546,0.0023359896,2432
CD3G,NR4A3,Effector CD8 T cell,-0.0973931,0.00784269,2432
CD3G,PAX5,Effector CD8 T cell,-0.10748313,0.009173332,2432
CD3G,PAX6,Effector CD8 T cell,0.049169987,0.0027787841,2432
CD3G,REL,Effector CD8 T cell,0.110735916,0.005545729,2432
CD3G,RELA,Effector CD8 T cell,0.2641473,0.020575827,2432
CD3G,RFX5,Effector CD8 T cell,-0.11393265,0.008799644,2432
CD3G,RXRA,Effector CD8 T cell,0.00014764139,0.0017441566,2432
CD3G,SMAD4,Effector CD8 T cell,0.18528922,0.01736874,2432
CD3G,SMC3,Effector CD8 T cell,0.18152054,0.013371277,2432
CD3G,SP1,Effector CD8 T cell,0.082762495,0.0057248333,2432
CD3G,SREBF1,Effector CD8 T cell,0.089725114,0.009277063,2432
CD3G,STAT1,Effector CD8 T cell,0.1635404,0.011881639,2432
CD3G,STAT2,Effector CD8 T cell,-0.20809905,0.014538109,2432
CD3G,STAT3,Effector CD8 T cell,0.15960228,0.014521669,2432
CD3G,TCF4,Effector CD8 T cell,-0.03348024,0.0031173343,2432
CD3G,WT1,Effector CD8 T cell,0.034659896,0.0015119177,2432
CD3G,ZEB1,Effector CD8 T cell,0.023641143,0.0013248259,2432
CD3G,ZIC2,Effector CD8 T cell,0.019136593,0.0009932508,2432
CD3G,ZNF76,Effector CD8 T cell,-0.00019154933,0.0013754213,2432
CD3G,ATOH8,Proliferating CD8 T cell,0.02577789,0.0025792262,19
CD3G,BCL11A,Proliferating CD8 T cell,-0.32488722,0.01953517,19
CD3G,BCL11B,Proliferating CD8 T cell,0.36926058,0.0081528565,19
CD3G,CTCF,Proliferating CD8 T cell,0.22015813,0.018594397,19
CD3G,CTCFL,Proliferating CD8 T cell,0.03405298,0.00091381423,19
CD3G,E2F3,Proliferating CD8 T cell,0.043903995,0.0063791317,19
CD3G,E2F4,Proliferating CD8 T cell,0.06612877,0.0035178144,19
CD3G,EBF1,Proliferating CD8 T cell,0.011484204,0.0016689881,19
CD3G,EP300,Proliferating CD8 T cell,0.04314709,0.003225604,19
CD3G,ETS1,Proliferating CD8 T cell,0.077057704,0.00076019764,19
CD3G,FOXA1,Proliferating CD8 T cell,0.04620658,0.0030321833,19
CD3G,HNF4A,Proliferating CD8 T cell,-0.008574367,0.0009924405,19
CD3G,IRF1,Proliferating CD8 T cell,0.010779368,0.0003679547,19
CD3G,IRF3,Proliferating CD8 T cell,-0.09619758,0.023736287,19
CD3G,IRF4,Proliferating CD8 T cell,-0.19818439,0.01948616,19
CD3G,IRF8,Proliferating CD8 T cell,-0.0004204293,0.0012765592,19
CD3G,LMO2,Proliferating CD8 T cell,-0.06868976,0.0024323936,19
CD3G,MAFF,Proliferating CD8 T cell,-0.010475897,0.008879908,19
CD3G,MAX,Proliferating CD8 T cell,0.19832116,0.009500952,19
CD3G,MYC,Proliferating CD8 T cell,-0.028265633,0.001050486,19
CD3G,NHLH2,Proliferating CD8 T cell,-0.06003377,0.0012241672,19
CD3G,NR3C1,Proliferating CD8 T cell,0.2508108,0.017303955,19
CD3G,NR4A1,Proliferating CD8 T cell,-0.030702246,0.001688402,19
CD3G,NR4A3,Proliferating CD8 T cell,-0.09637126,0.006942739,19
CD3G,PAX5,Proliferating CD8 T cell,-0.10650764,0.007245736,19
CD3G,PAX6,Proliferating CD8 T cell,0.049119864,0.0011452701,19
CD3G,REL,Proliferating CD8 T cell,0.11078059,0.0016159666,19
CD3G,RELA,Proliferating CD8 T cell,0.2617076,0.01729694,19
CD3G,RFX5,Proliferating CD8 T cell,-0.11350876,0.0047854576,19
CD3G,RXRA,Proliferating CD8 T cell,3.887117e-05,8.605533e-06,19
CD3G,SMAD4,Proliferating CD8 T cell,0.1829574,0.014911066,19
CD3G,SMC3,Proliferating CD8 T cell,0.17974055,0.012108122,19
CD3G,SP1,Proliferating CD8 T cell,0.0825763,0.0027491332,19
CD3G,SREBF1,Proliferating CD8 T cell,0.08819108,0.008899877,19
CD3G,STAT1,Proliferating CD8 T cell,0.16373703,0.0029638726,19
CD3G,STAT2,Proliferating CD8 T cell,-0.2080177,0.005276733,19
CD3G,STAT3,Proliferating CD8 T cell,0.15768024,0.012106939,19
CD3G,TCF4,Proliferating CD8 T cell,-0.03302766,0.002911874,19
CD3G,WT1,Proliferating CD8 T cell,0.034579437,0.0008471715,19
CD3G,ZEB1,Proliferating CD8 T cell,0.023510123,0.00096079183,19
CD3G,ZIC2,Proliferating CD8 T cell,0.018919947,0.001017605,19
CD3G,ZNF76,Proliferating CD8 T cell,-0.00037643383,0.00050347997,19
CD3G,ATOH8,other,0.0072977557,0.012908104,190549
CD3G,BCL11A,other,0.009014553,0.05501467,190549
CD3G,BCL11B,other,0.015466687,0.05359928,190549
CD3G,CTCF,other,0.010342747,0.033400964,190549
CD3G,CTCFL,other,0.010991458,0.012211877,190549
CD3G,E2F3,other,0.0032967434,0.01328734,190549
CD3G,E2F4,other,0.0015002682,0.018545203,190549
CD3G,EBF1,other,0.009808646,0.0075827385,190549
CD3G,EP300,other,0.002106638,0.0069281952,190549
CD3G,ETS1,other,0.00043526647,0.015177335,190549
