,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
4339,Exhausted CD4,other,CUBN,CUBN,225.95238,1.1483282943650392,0.12541653142752335,0.7965653154208815,0.008577845041250707,22132.363,0.000999000999000999,0.004735513449206395,74.92504528912912,True
4340,Exhausted CD4,other,SLC11A2,SLC40A1,170.29333,0.8654596034679259,0.1933932894744526,0.7965653154208815,0.009199909840040942,396.14377,0.01998001998001998,0.048215409432139464,0.00741747030648642,True
4342,Exhausted CD4,other,SLC11A2,SLC3A2,15.792679,0.0802610716599475,0.46801480930337497,0.7965653154208815,0.0008531820780286104,13710.219,0.000999000999000999,0.004735513449206395,0.2567127104062812,True
4343,Exhausted CD4,other,SLC40A1,SLC40A1,3640.328,18.50076355005013,1.0178473959728779e-76,7.267430407246348e-75,0.16203325933032772,102729.23,0.000999000999000999,0.004735513449206395,1.1495013700331616,True
4350,Exhausted CD4,other,SLC10A1,SLC5A5,401.01193,2.0380106365119555,0.020774434577919502,0.21893647658501145,0.050350568108223984,4.9066396,0.012987012987012988,0.03395048887039734,0.1972032215843284,True
4353,Exhausted CD4,other,SLC12A2,SLC12A2,1561.1246,7.933900095579261,1.061844771302991e-15,3.588909664900997e-14,0.045146440885186566,6280.451,0.000999000999000999,0.004735513449206395,0.6284937274017626,True
4354,Exhausted CD4,other,SLC12A2,SLC22A5,43.882587,0.22301875013195568,0.4117604567451971,0.7965653154208815,0.001269048349213606,1134.4388,0.000999000999000999,0.004735513449206395,0.11352491680803253,True
4357,Exhausted CD4,other,SLC1A5,SLC22A5,-343.75705,-1.7470316138339677,0.959684072771132,0.9707305513845769,-0.00986943894734676,1789.4861,0.000999000999000999,0.004735513449206395,0.0788842931236201,True
4359,Exhausted CD4,other,SLC5A1,SLC5A1,1575.9747,8.00937080987343,5.764839160105368e-16,1.9717821127258598e-14,0.01785639663691345,32.47286,0.003996003996003996,0.013858636809456483,0.11507275380089986,True
4360,Exhausted CD4,other,SLC29A1,SLC29A1,361.6237,1.8378328985772894,0.03304351612734841,0.31562636140370254,0.01904247930379879,13904.444,0.000999000999000999,0.004735513449206395,0.3724113297133089,True
4361,Exhausted CD4,other,SLC12A2,SLC5A3,-29.443127,-0.14963496220123296,0.5594736885643504,0.7965653154208815,-0.0008514710160188708,3436.216,0.000999000999000999,0.004735513449206395,0.34386705403860485,True
4364,Exhausted CD4,other,SLC12A2,SLC1A5,-87.25053,-0.4434219696399659,0.6712697260428467,0.798695196360125,-0.0025232134887478836,4068.3218,0.000999000999000999,0.004735513449206395,0.4071227763958846,True
4365,Exhausted CD4,other,SLC1A5,SLC5A3,257.7391,1.309873835385486,0.09511925989468395,0.7102238072136402,0.0073998202120071094,6201.4907,0.000999000999000999,0.004735513449206395,0.27337469475046094,True
4366,Exhausted CD4,other,SLC22A5,SLC5A3,157.40239,0.7999456329611587,0.21187114859780004,0.7965653154208815,0.005182756198120589,1248.6262,0.000999000999000999,0.004735513449206395,0.30347502291933026,True
4370,Exhausted CD4,other,SLC5A3,SLC5A3,178.96864,0.9095489908787148,0.18153020500791484,0.7965653154208815,0.008149528524736334,3587.7344,0.003996003996003996,0.013858636809456483,0.293486149654077,True
