sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,24_11_12_ICI_5K_Fine_annotations_n_sig_pairs,24_11_12_ICI_5K_Fine_annotations_interactions,24_11_12_ICI_5K_Fine_annotations_within_Tcell,24_11_12_ICI_5K_Fine_annotations_Tcell_interfaces,24_11_12_ICI_5K_Fine_annotations_tcell_involved,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_2,Chloride_bicarbonate anion exchange,1,SLC4A1,False,0.0544931268142092,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,Cholesterol,6,"ABCB1, ABCG2, CD36",True,0.0026752907364487,4,11,Endothelial_lymphatic–Endothelial_venous (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); IEC_BEST4_OTOP2 (self) (6.1e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_cCF_S1–MNP_mDC (1.2e-02); Fibroblast_cCF_S1–Plasma (2.0e-02); Fibroblast_CTF_S2–T_CD4 (4.4e-02); Pericyte–T_CD4 (4.9e-02),IEC_Colonocyte_NOS (self) (2.4e-03); IEC_BEST4_OTOP2 (self) (6.1e-03),Endothelial_lymphatic–Endothelial_venous (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_cCF_S1–MNP_mDC (1.2e-02); Fibroblast_cCF_S1–Plasma (2.0e-02); Fibroblast_CTF_S2–T_CD4 (4.4e-02); Pericyte–T_CD4 (4.9e-02),True,3,IEC (self) (2.5e-03); Fibroblast–MNP (1.0e-02); Fibroblast–Plasma (4.5e-02),IEC (self) (2.5e-03),Fibroblast–MNP (1.0e-02); Fibroblast–Plasma (4.5e-02),True
13473_HS4_UC-Slice_2,Cholic acid,36,"ABCB1, ABCC1, ABCC2, ABCC3, ABCC4, SLC10A1, SLCO1B1, SLCO1B3",True,0.0026752907364487,4,12,Endothelial_arterial–IEC_Goblet (2.4e-03); IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (6.1e-03); Fibroblast_submucosal_S3–MNP_macrophage (7.7e-03); Fibroblast_CTF_S2–Fibroblast_cCF_S1 (9.2e-03); IEC_Goblet–MNP_macrophage (1.2e-02); Fibroblast_cCF_S1–Plasma (1.7e-02); Plasma–T_gd_and_ambiguous (2.6e-02); MNP_macrophage–Myofibroblast (2.9e-02),IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03),Endothelial_arterial–IEC_Goblet (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (6.1e-03); Fibroblast_submucosal_S3–MNP_macrophage (7.7e-03); Fibroblast_CTF_S2–Fibroblast_cCF_S1 (9.2e-03); IEC_Goblet–MNP_macrophage (1.2e-02); Fibroblast_cCF_S1–Plasma (1.7e-02); Plasma–T_gd_and_ambiguous (2.6e-02); MNP_macrophage–Myofibroblast (2.9e-02),True,2,IEC (self) (2.5e-03); MNP–Myofibroblast (2.6e-02),IEC (self) (2.5e-03),MNP–Myofibroblast (2.6e-02),True
13473_HS4_UC-Slice_2,Choline,10,"SLC22A1, SLC22A2, SLC22A5, SLC5A7",True,0.0026752907364487,2,7,Myofibroblast–T_CD4 (2.4e-03); Fibroblast_cCF_S1–Plasma (4.4e-03); IEC_Colonocyte_NOS (self) (2.6e-02); Enteric_glia–Fibroblast_cCF_S1 (2.9e-02); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (3.1e-02); IEC_Goblet_2–Plasma (4.0e-02); IEC_Goblet_2–T_gd_and_ambiguous (4.1e-02),IEC_Colonocyte_NOS (self) (2.6e-02),Myofibroblast–T_CD4 (2.4e-03); Fibroblast_cCF_S1–Plasma (4.4e-03); Enteric_glia–Fibroblast_cCF_S1 (2.9e-02); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (3.1e-02); IEC_Goblet_2–Plasma (4.0e-02); IEC_Goblet_2–T_gd_and_ambiguous (4.1e-02),True,2,IEC (self) (2.5e-03); Myofibroblast–T (6.6e-03),IEC (self) (2.5e-03),Myofibroblast–T (6.6e-03),True
13473_HS4_UC-Slice_2,Citric acid,1,SLCO2B1,True,0.0026752907364487,1,5,IEC_Colonocyte_NOS (self) (6.1e-03); MNP_macrophage–T_CD8 (1.7e-02); IEC_BEST4_OTOP2–T_CD4 (2.1e-02); IEC_BEST4_OTOP2–MNP_macrophage (3.5e-02); Fibroblast_CTF_S2–MNP_macrophage (4.9e-02),IEC_Colonocyte_NOS (self) (6.1e-03),MNP_macrophage–T_CD8 (1.7e-02); IEC_BEST4_OTOP2–T_CD4 (2.1e-02); IEC_BEST4_OTOP2–MNP_macrophage (3.5e-02); Fibroblast_CTF_S2–MNP_macrophage (4.9e-02),True,1,MNP–T (1.7e-02),,MNP–T (1.7e-02),True
13473_HS4_UC-Slice_2,Cobalamin,1,CUBN,False,0.0947052973839971,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,Coprocholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,Cortisol,3,"ABCB1, ABCG2",True,0.0026752907364487,3,9,Endothelial_lymphatic–Endothelial_venous (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); IEC_BEST4_OTOP2 (self) (6.1e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_cCF_S1–Plasma (1.6e-02); Fibroblast_CTF_S2–T_CD4 (4.1e-02),IEC_Colonocyte_NOS (self) (2.4e-03); IEC_BEST4_OTOP2 (self) (6.1e-03),Endothelial_lymphatic–Endothelial_venous (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_cCF_S1–Plasma (1.6e-02); Fibroblast_CTF_S2–T_CD4 (4.1e-02),True,3,IEC (self) (2.5e-03); Fibroblast–Plasma (4.1e-02); Endothelial (self) (4.2e-02),IEC (self) (2.5e-03); Endothelial (self) (4.2e-02),Fibroblast–Plasma (4.1e-02),True
13473_HS4_UC-Slice_2,Creatine,1,SLC22A5,True,0.0026752907364487,1,4,IEC_Colonocyte_NOS (self) (2.6e-02); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (3.1e-02); IEC_Goblet_2–Plasma (4.0e-02); IEC_Goblet_2–T_gd_and_ambiguous (4.1e-02),IEC_Colonocyte_NOS (self) (2.6e-02),IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (3.1e-02); IEC_Goblet_2–Plasma (4.0e-02); IEC_Goblet_2–T_gd_and_ambiguous (4.1e-02),True,1,IEC (self) (2.5e-03),IEC (self) (2.5e-03),,True
13473_HS4_UC-Slice_2,Cyclic AMP,1,ABCC4,False,0.3709290793963841,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,Cytidine,1,SLC29A1,False,0.1101606705536445,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,D-Aspartate,3,"SLC1A2, SLC1A3",False,0.3868244412079663,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,D-Fructose,1,SLC2A2,False,0.1782088858946677,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,D-Galactose,6,"SLC2A1, SLC2A2, SLC2A3",True,0.0026752907364487,2,8,Fibroblast_cCF_S1–MAST (7.7e-03); IEC_Goblet–Muscularis_mucosa (9.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.3e-02); MAST–T_CD8 (1.9e-02); IEC_Colonocyte_NOS (self) (2.4e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.9e-02); Fibroblast_cCF_S1–T_CD8 (3.0e-02); Fibroblast_CTF_S2 (self) (4.8e-02),IEC_Colonocyte_NOS (self) (2.4e-02); Fibroblast_CTF_S2 (self) (4.8e-02),Fibroblast_cCF_S1–MAST (7.7e-03); IEC_Goblet–Muscularis_mucosa (9.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.3e-02); MAST–T_CD8 (1.9e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.9e-02); Fibroblast_cCF_S1–T_CD8 (3.0e-02),True,3,IEC (self) (2.5e-03); Fibroblast–MAST (1.0e-02); IEC–Muscularis_mucosa (2.3e-02),IEC (self) (2.5e-03),Fibroblast–MAST (1.0e-02); IEC–Muscularis_mucosa (2.3e-02),True
13473_HS4_UC-Slice_2,D-Glucose,15,"SLC2A1, SLC2A2, SLC2A3, SLC2A4, SLC2A9",True,0.0026752907364487,2,8,Fibroblast_cCF_S1–MAST (7.7e-03); IEC_Goblet–Muscularis_mucosa (9.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.3e-02); MAST–T_CD8 (1.9e-02); IEC_Colonocyte_NOS (self) (2.4e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.9e-02); Fibroblast_cCF_S1–T_CD8 (3.0e-02); Fibroblast_CTF_S2 (self) (4.8e-02),IEC_Colonocyte_NOS (self) (2.4e-02); Fibroblast_CTF_S2 (self) (4.8e-02),Fibroblast_cCF_S1–MAST (7.7e-03); IEC_Goblet–Muscularis_mucosa (9.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.3e-02); MAST–T_CD8 (1.9e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.9e-02); Fibroblast_cCF_S1–T_CD8 (3.0e-02),True,3,IEC (self) (2.5e-03); Fibroblast–MAST (1.0e-02); IEC–Muscularis_mucosa (2.3e-02),IEC (self) (2.5e-03),Fibroblast–MAST (1.0e-02); IEC–Muscularis_mucosa (2.3e-02),True
13473_HS4_UC-Slice_2,D-Lactate,1,SLC16A1,True,0.0047830955591052,1,2,IEC_Colonocyte_NOS–T_CD8 (1.9e-02); IEC_Colonocyte_NOS–MNP_macrophage (4.5e-02),,IEC_Colonocyte_NOS–T_CD8 (1.9e-02); IEC_Colonocyte_NOS–MNP_macrophage (4.5e-02),True,1,IEC (self) (4.7e-03),IEC (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,D-Maltose,1,SLC2A3,True,0.0091502697652448,1,3,Fibroblast_cCF_S1–MAST (7.7e-03); Fibroblast_cCF_S1–T_CD8 (2.0e-02); Fibroblast_CTF_S2 (self) (2.9e-02),Fibroblast_CTF_S2 (self) (2.9e-02),Fibroblast_cCF_S1–MAST (7.7e-03); Fibroblast_cCF_S1–T_CD8 (2.0e-02),True,1,Fibroblast–MAST (8.5e-03),,Fibroblast–MAST (8.5e-03),True
13473_HS4_UC-Slice_2,D-Mannose,6,"SLC2A1, SLC2A2, SLC2A3",True,0.0026752907364487,2,8,Fibroblast_cCF_S1–MAST (7.7e-03); IEC_Goblet–Muscularis_mucosa (9.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.3e-02); MAST–T_CD8 (1.9e-02); IEC_Colonocyte_NOS (self) (2.4e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.9e-02); Fibroblast_cCF_S1–T_CD8 (3.0e-02); Fibroblast_CTF_S2 (self) (4.8e-02),IEC_Colonocyte_NOS (self) (2.4e-02); Fibroblast_CTF_S2 (self) (4.8e-02),Fibroblast_cCF_S1–MAST (7.7e-03); IEC_Goblet–Muscularis_mucosa (9.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.3e-02); MAST–T_CD8 (1.9e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.9e-02); Fibroblast_cCF_S1–T_CD8 (3.0e-02),True,3,IEC (self) (2.5e-03); Fibroblast–MAST (1.0e-02); IEC–Muscularis_mucosa (2.3e-02),IEC (self) (2.5e-03),Fibroblast–MAST (1.0e-02); IEC–Muscularis_mucosa (2.3e-02),True
13473_HS4_UC-Slice_2,D-Xylose,1,SLC2A3,True,0.0091502697652448,1,3,Fibroblast_cCF_S1–MAST (7.7e-03); Fibroblast_cCF_S1–T_CD8 (2.0e-02); Fibroblast_CTF_S2 (self) (2.9e-02),Fibroblast_CTF_S2 (self) (2.9e-02),Fibroblast_cCF_S1–MAST (7.7e-03); Fibroblast_cCF_S1–T_CD8 (2.0e-02),True,1,Fibroblast–MAST (8.5e-03),,Fibroblast–MAST (8.5e-03),True
13473_HS4_UC-Slice_2,Debrisoquine,1,SLC22A2,True,0.04427279936286,0,0,,,,False,0,,,,False
