group,left,right,count
ltf,-1.5888249e-05,-1.5052396e-05,0
ltf,-1.5052396e-05,-1.4216543e-05,0
ltf,-1.4216543e-05,-1.338069e-05,0
ltf,-1.338069e-05,-1.2544837e-05,0
ltf,-1.2544837e-05,-1.1708984e-05,0
ltf,-1.1708984e-05,-1.0873131e-05,0
ltf,-1.0873131e-05,-1.0037278e-05,0
ltf,-1.0037278e-05,-9.201425e-06,0
ltf,-9.201425e-06,-8.365572e-06,0
ltf,-8.365572e-06,-7.529719e-06,0
ltf,-7.529719e-06,-6.693866e-06,1
ltf,-6.693866e-06,-5.858013e-06,0
ltf,-5.858013e-06,-5.02216e-06,0
ltf,-5.02216e-06,-4.186307e-06,1
ltf,-4.186307e-06,-3.350454e-06,1
ltf,-3.350454e-06,-2.514601e-06,0
ltf,-2.514601e-06,-1.678748e-06,0
ltf,-1.678748e-06,-8.428951e-07,5
ltf,-8.428951e-07,-7.042081e-09,31
ltf,-7.042081e-09,8.288109e-07,79
ltf,8.288109e-07,1.6646638e-06,0
ltf,1.6646638e-06,2.5005168e-06,0
ltf,2.5005168e-06,3.33637e-06,0
ltf,3.33637e-06,4.172223e-06,1
metab,-0.003422489,-0.003083109,2
metab,-0.003083109,-0.002743729,0
metab,-0.002743729,-0.002404349,0
metab,-0.002404349,-0.002064969,0
metab,-0.002064969,-0.001725589,1
metab,-0.001725589,-0.001386209,0
metab,-0.001386209,-0.0010468292,0
metab,-0.0010468292,-0.00070744916,0
metab,-0.00070744916,-0.0003680692,3
metab,-0.0003680692,-2.8689206e-05,23
metab,-2.8689206e-05,0.00031069075,380
metab,0.00031069075,0.0006500707,11
metab,0.0006500707,0.0009894507,6
metab,0.0009894507,0.0013288307,5
metab,0.0013288307,0.0016682106,3
metab,0.0016682106,0.0020075906,6
metab,0.0020075906,0.0023469706,2
metab,0.0023469706,0.0026863506,3
metab,0.0026863506,0.0030257306,1
metab,0.0030257306,0.0033651106,1
metab,0.0033651106,0.0037044904,2
metab,0.0037044904,0.0040438706,0
metab,0.0040438706,0.0043832506,1
metab,0.0043832506,0.0047226306,1
metab,0.0047226306,0.00506201,1
metab,0.00506201,0.00540139,0
metab,0.00540139,0.00574077,1
metab,0.00574077,0.00608015,0
metab,0.00608015,0.00641953,0
metab,0.00641953,0.00675891,0
metab,0.00675891,0.00709829,0
metab,0.00709829,0.00743767,1
metab,0.00743767,0.00777705,0
metab,0.00777705,0.00811643,0
metab,0.00811643,0.00845581,0
metab,0.00845581,0.00879519,1
metab,0.00879519,0.00913457,0
metab,0.00913457,0.00947395,0
metab,0.00947395,0.00981333,0
metab,0.00981333,0.01015271,0
metab,0.01015271,0.01049209,0
metab,0.01049209,0.01083147,0
metab,0.01083147,0.01117085,0
metab,0.01117085,0.01151023,0
metab,0.01151023,0.01184961,0
metab,0.01184961,0.01218899,0
metab,0.01218899,0.01252837,0
metab,0.01252837,0.01286775,0
metab,0.01286775,0.01320713,0
metab,0.01320713,0.01354651,1
tf,-2.231194,-2.1135693,1
tf,-2.1135693,-1.9959444,0
tf,-1.9959444,-1.8783196,0
tf,-1.8783196,-1.7606949,0
tf,-1.7606949,-1.6430701,2
tf,-1.6430701,-1.5254452,1
tf,-1.5254452,-1.4078205,1
tf,-1.4078205,-1.2901957,1
tf,-1.2901957,-1.1725708,1
tf,-1.1725708,-1.0549461,0
tf,-1.0549461,-0.9373213,3
tf,-0.9373213,-0.8196965,5
tf,-0.8196965,-0.7020717,3
tf,-0.7020717,-0.5844469,9
