cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
T Cell,Chenodeoxycholic acid 3-sulfate,43436,0.0,0.0,,2.9856465,-inf
T Cell,Chloride,43436,0.00020720139976056727,0.005226803092421755,25.2257132358257,2.6156385,-4.4244210666647765
T Cell,Chloride ion,43436,0.00029929091076526384,0.013732978821927302,36.40912650868555,2.6668763,-3.1669381495009126
T Cell,Cholesterol,43436,0.00016115664425821898,0.004369274725849258,27.11197385599834,2.9197555,-2.8179113131144273
T Cell,Cholic acid,43436,0.0017266783313380607,0.06551921668604653,34.961161245768864,2.2134125,-2.2465410873229548
T Cell,Choline,43436,2.3022377751174143e-05,0.0004155392283600143,18.04936192304558,2.9648976,-3.9499109864470254
T Cell,Citric acid,43436,0.0007597384657887467,0.021728656877175626,28.600180003545468,2.8662615,-0.6516210835026472
T Cell,Coprocholic acid,43436,0.0,0.0,,2.9856465,-inf
T Cell,Cortisol,43436,0.00013813426650704486,0.0036242042369281943,26.236822539202176,2.9532967,-2.0357645748357074
T Cell,Creatine,43436,2.3022377751174143e-05,0.0004155392283600143,18.04936192304558,2.9666793,-3.8186664531687726
T Cell,Cyclic AMP,43436,6.906713325352243e-05,0.001591525529696788,23.043167635969894,2.9747882,-1.4807968144123886
T Cell,Cytidine,43436,0.0001151118887558707,0.003961839238214885,34.417289830220355,2.8158455,-3.4387801799388256
T Cell,D-Aspartate,43436,4.6044755502348285e-05,0.0014316664146598209,31.09293119358199,2.993192,-1.6085523616107613
T Cell,D-Galactose,43436,0.015056635049267889,0.5788187144148634,37.296805224861764,1.2500987,-2.6107379664180197
T Cell,D-Glucose,43436,0.014481075605488536,0.5900463916888328,38.32491510600031,1.2436993,-2.468147781882783
T Cell,D-Lactate,43436,6.906713325352243e-05,0.0016645377974082176,24.100287922741114,2.908518,-3.7164860583622943
T Cell,D-Maltose,43436,0.0134450686066857,0.44235715254652813,32.90107068152568,1.991554,-0.2924325788854894
T Cell,D-Mannose,43436,0.015056635049267889,0.5788187144148634,37.296805224861764,1.2500987,-2.6107379664180197
T Cell,D-Xylose,43436,0.0134450686066857,0.44235715254652813,32.90107068152568,1.991554,-0.2924325788854894
T Cell,Dehydroascorbic acid,43436,0.01517174693802376,0.57507822725304,36.99762070445704,1.25131,-2.6351331865075673
T Cell,Dehydroepiandrosterone,43436,0.0,0.0,,2.992395,-inf
T Cell,Deoxycholic acid,43436,0.0,0.0,,2.9856465,-inf
T Cell,Docosahexaenoic acid,43436,0.01517174693802376,0.57507822725304,36.99762070445704,1.25131,-2.6351331865075673
T Cell,Dopamine,43436,4.6044755502348285e-05,0.001195420767188503,25.962148221799907,2.9623933,-3.0433219260137894
