,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
182,T Cell,other,SLC40A1,SLC40A1,214.29137,0.4991476683063719,0.3088376790761197,0.6472916504137413,0.011006717586495489,2127.7395,0.002997002997002997,0.008929426737645916,0.05062568323320185,True
184,T Cell,other,CUBN,SLC40A1,2045.2559,4.764002906899382,9.489488403881645e-07,7.371299028015206e-06,0.08379941434124011,6788.276,0.000999000999000999,0.0032674092824468764,1.4833416128162065,True
212,T Cell,other,SLC1A5,SLC5A1,614.3201,1.4309324032919206,0.07622479460411487,0.28099818349822003,0.027698482334026622,156.85925,0.00999000999000999,0.024551719466973706,0.007420339175676862,True
215,T Cell,other,MSR1,MSR1,101.77733,0.23706935568283888,0.4063014926929329,0.6472916504137413,0.004702616709449196,434.8812,0.002997002997002997,0.008929426737645916,0.036600626867312316,True
220,T Cell,other,SLCO1C1,SLCO1C1,945.92163,2.2033299053792454,0.013785752325445242,0.059374279817511685,0.0558984133994461,33.277172,0.008991008991008992,0.02247752247752248,0.028819092875269237,True
221,T Cell,other,ABCA1,ABCA1,444.52545,1.035430620669088,0.15023392585071005,0.5186647440084037,0.021883605648535958,1012.2787,0.000999000999000999,0.0032674092824468764,0.0761571642652993,True
232,T Cell,other,ABCC4,ABCC4,432.8063,1.008133278468543,0.1566952417677827,0.5367120485746888,0.019659686508828964,83.04994,0.016983016983016984,0.03888217046111783,0.026156682023579444,True
235,T Cell,other,FOLR2,FOLR2,813.8018,1.8955839744250769,0.029007539004300927,0.12017409016067526,0.03761915428312992,176.63281,0.000999000999000999,0.0032674092824468764,0.024629041081669013,True
242,T Cell,other,CD38,CD38,122.113686,0.2844387173084816,0.3880370958082755,0.6472916504137413,0.005353478508466284,200.84224,0.017982017982017984,0.040740509490509495,0.014805899937772319,True
259,T Cell,other,TAP1,TAP1,416.13058,0.9692906176767372,0.16620010458110884,0.5604422131223438,0.020333263626025583,3723.6636,0.002997002997002997,0.008929426737645916,0.06165677423423124,True
261,T Cell,other,AQP7,AQP7,1374.9532,3.2026708227572964,0.0006807976013045478,0.003796755853429209,0.05981727797880587,3339.429,0.000999000999000999,0.0032674092824468764,0.32102464729998426,True
