,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
1185,CD8 T Cell,gd T Cell,SLC5A1,SLC5A1,120.05728,2.416662079746293,0.007831775502432052,0.02915381743714131,0.07852306280504114,23.471006,0.01098901098901099,0.030994646379261765,0.24105288652580328,True
1203,CD8 T Cell,gd T Cell,SLC3A2,SLC43A2,12.378539,0.2491706095458689,0.40161440637566437,0.7501768963207104,0.009127010776829847,1056.3665,0.001998001998001998,0.006955070246209487,0.25902636553926556,True
1206,CD8 T Cell,gd T Cell,MSR1,MSR1,337.9248,6.802170190183842,5.152737413923622e-12,3.363804839950139e-11,0.33190874691157807,2068.6887,0.000999000999000999,0.0036387453605996652,0.6357947043734312,True
1207,CD8 T Cell,gd T Cell,CD36,MSR1,121.01241,2.435888153524038,0.007427638512383736,0.027696279198719018,0.09020390180188867,58.58359,0.015984015984015984,0.04246960768699899,0.9150331855556593,True
1212,CD8 T Cell,gd T Cell,ABCA1,ABCA1,111.77644,2.2499750869646093,0.012225263408276453,0.04331011191337873,0.10519535541163877,1714.001,0.000999000999000999,0.0036387453605996652,0.6087755557097054,True
1227,CD8 T Cell,gd T Cell,FOLR1,FOLR1,215.03801,4.328552147293614,7.504639835059574e-06,3.795450031524383e-05,0.12726076640177977,5896.9604,0.000999000999000999,0.0036387453605996652,1.309432670707001,True
1237,CD8 T Cell,gd T Cell,LRP1,LRP1,108.365135,2.1813080366972426,0.014580320197761993,0.05091540386520061,0.12780152298706,1325.1829,0.005994005994005994,0.018289616070475988,0.5167863086731393,True
1243,CD8 T Cell,gd T Cell,CD38,CD38,455.99625,9.178858819031415,2.1784198071765503e-20,1.6875083013339475e-19,0.23013894833950826,7093.5596,0.000999000999000999,0.0036387453605996652,1.3364025465295284,True
1277,CD8 T Cell,gd T Cell,TAP1,TAP1,502.11563,10.10720707843919,2.566330979691645e-24,2.1225293816998567e-23,0.40740822657830494,29775.607,0.000999000999000999,0.0036387453605996652,1.8217157026781774,True
1309,CD8 T Cell,gd T Cell,SLC6A9,SLC6A9,175.96513,3.542044768948579,0.00019851904140107314,0.0009156014488099809,0.11710043071939384,144.87665,0.000999000999000999,0.0036387453605996652,0.38446710889829305,True
1316,CD8 T Cell,gd T Cell,SCNN1A,SCNN1A,118.43311,2.3839688009640505,0.008563527158494965,0.03155738651371679,0.07136484030430991,1740.7225,0.000999000999000999,0.0036387453605996652,0.8928367760066694,True
1325,CD8 T Cell,other,SLC2A4,SLC2A4,7484.8784,26.559494736571686,9.975735650383491e-156,1.415910866506044e-154,0.1555014507615497,25055.057,0.000999000999000999,0.0036387453605996652,169.02148943590967,True
1326,CD8 T Cell,other,SLC2A1,SLC2A9,4075.8716,14.46290557907003,1.0391779517065921e-47,1.0584219878493068e-46,0.1065322131463412,25096.406,0.000999000999000999,0.0036387453605996652,0.2679660534152995,True
1328,CD8 T Cell,other,SLC38A7,SLC7A7,400.75198,1.422036485545777,0.07750782969424473,0.21584458902194736,0.009943302500918247,9935.378,0.000999000999000999,0.0036387453605996652,0.5909096768085798,True
1329,CD8 T Cell,other,SLC7A5,SLC7A5,-874.7852,-3.104105648308051,0.9990457241672617,1.0,-0.02128857956806516,32070.48,0.000999000999000999,0.0036387453605996652,0.7175121014957314,True
1330,CD8 T Cell,other,SLC7A5,SLC7A7,3258.5986,11.562877631921559,3.1771531203347344e-31,2.841356449079844e-30,0.07930053561067917,111506.88,0.006993006993006993,0.02076196408180214,2.494740853539621,True
1331,CD8 T Cell,other,SLC1A5,SLC1A5,6737.455,23.907322563284986,1.2850791429189403e-126,1.7451692064331288e-125,0.16546805218537564,38089.91,0.000999000999000999,0.0036387453605996652,0.6375186594416107,True
1334,CD8 T Cell,other,SLC3A2,SLC7A5,706.4187,2.5066704798502117,0.006093713518855983,0.023274600245630488,0.018099346292159632,18436.477,0.000999000999000999,0.0036387453605996652,0.16309991886855962,True
1336,CD8 T Cell,other,SLC1A5,SLC38A7,2285.8362,8.111107575134799,2.508021104573115e-16,1.7856460938708265e-15,0.05613883227495909,8606.944,0.000999000999000999,0.0036387453605996652,0.1440561973611032,True
1337,CD8 T Cell,other,SLC1A5,SLC7A5,186.60773,0.6621626521695524,0.25393349340600035,0.5547702934391269,0.00458297929407881,58115.445,0.000999000999000999,0.0036387453605996652,0.972690159585423,True
1338,CD8 T Cell,other,SLC7A7,SLC7A7,1781.1425,6.3202420994711135,1.305769174367846e-10,8.069360066318151e-10,0.05820384359596004,24161.607,0.000999000999000999,0.0036387453605996652,0.4510944963546226,True
1339,CD8 T Cell,other,SLC1A5,SLC7A7,866.0188,3.072998710844758,0.0010595970160928525,0.004500218987266941,0.021268927530703145,4026.7124,0.000999000999000999,0.0036387453605996652,0.06739591356788409,True
1340,CD8 T Cell,other,SLC38A7,SLC3A2,63.532074,0.22543850281940087,0.410819080763469,0.7594974602349848,0.001576333133271955,12691.5205,0.000999000999000999,0.0036387453605996652,0.7548321095136068,True
1342,CD8 T Cell,other,SLC38A7,SLC7A5,895.1186,3.1762570060449735,0.0007459435800208266,0.00323683604742765,0.02220933467796696,10866.473,0.000999000999000999,0.0036387453605996652,0.6462868237923106,True
1343,CD8 T Cell,other,SLC7A11,SLC7A11,776.5389,2.7554863457113323,0.002930247528922757,0.01157368862411143,0.02257930489357644,105.36871,0.007992007992007992,0.023318856210102896,0.08754759531905522,True
1344,CD8 T Cell,other,SLC1A5,SLC43A2,-100.884926,-0.3579821217235949,0.6398216535257751,0.8038108592104687,-0.0024776762116289516,29891.436,0.000999000999000999,0.0036387453605996652,0.5002991038954233,True
1347,CD8 T Cell,other,SLC43A2,SLC43A2,3944.0894,13.995286847367202,8.327815403050369e-45,8.252790039058924e-44,0.10869442076345469,21354.97,0.000999000999000999,0.0036387453605996652,0.5863776204204716,True
1348,CD8 T Cell,other,SLC43A2,SLC7A5,446.34088,1.5838050569279585,0.05661904408402438,0.16497207960999802,0.012300624856245793,6883.4316,0.000999000999000999,0.0036387453605996652,0.18900940309723843,True
1350,CD8 T Cell,other,SLC16A4,SLC16A4,6964.6353,24.713453317317057,3.8331355644289324e-135,5.270561401089782e-134,0.15850148293385813,4232.0786,0.000999000999000999,0.0036387453605996652,0.2971852767915235,True
1352,CD8 T Cell,other,SLCO2B1,SLCO2B1,9926.92,35.22488445269339,4.1595517320024514e-272,6.49008071659957e-271,0.3792515515183233,134311.38,0.000999000999000999,0.0036387453605996652,1.0583854343802996,True
1354,CD8 T Cell,other,SLC16A1,SLCO2B1,-858.6714,-3.0469270043521193,0.9988440307688544,1.0,-0.020073891314318377,22795.816,0.000999000999000999,0.0036387453605996652,1.002059103873853,True
1356,CD8 T Cell,other,SLC1A2,SLC1A2,910.0564,3.229262617597681,0.0006205493401078034,0.0027195389407114893,0.02444257320835884,382.92413,0.000999000999000999,0.0036387453605996652,0.8412312877162351,True
1358,CD8 T Cell,other,SLC16A1,SLC1A3,3749.304,13.30410637287664,1.095484988898649e-40,1.0433190370463326e-39,0.08765066737135152,30.784279,0.000999000999000999,0.0036387453605996652,0.0013532161493038492,True
1362,CD8 T Cell,other,SLC1A3,SLC1A5,823.22516,2.921148888242246,0.001743715603143553,0.007210853997962061,0.025117521909488513,34.40094,0.008991008991008992,0.02582274122744097,0.005851942604968709,True
1365,CD8 T Cell,other,SLC1A3,SLC3A2,330.3885,1.1723572299360863,0.12052683173106937,0.30876013040597294,0.01008052295012802,859.6849,0.002997002997002997,0.0100203747620161,0.1462409619703967,True
1370,CD8 T Cell,other,SLC39A8,SLC39A8,2663.9023,9.452645230377675,1.6518706026906914e-21,1.3167084514201163e-20,0.07152784275530152,2577.9934,0.000999000999000999,0.0036387453605996652,0.17792487904028179,True
1371,CD8 T Cell,other,CUBN,SLC40A1,37161.312,131.86395671817664,0.0,0.0,0.7424206745280931,96972.76,0.000999000999000999,0.0036387453605996652,32.22409288718198,True
1373,CD8 T Cell,other,CUBN,CUBN,3866.5679,13.720208036295775,3.842229963235491e-43,3.723747100933075e-42,0.07724753873981374,2882.759,0.000999000999000999,0.0036387453605996652,0.9579421783271812,True
1377,CD8 T Cell,other,SLC11A2,SLC11A2,1049.0729,3.7225515194595595,9.860982511523021e-05,0.00046355045994338987,0.027316826855307737,95.21103,0.005994005994005994,0.018289616070475988,0.001793694388529454,True
1390,CD8 T Cell,other,SLC5A5,SLC5A5,3737.132,13.260915444187589,1.950521975672617e-40,1.8496329079654127e-39,0.09633950424164653,575.50793,0.000999000999000999,0.0036387453605996652,0.24522110747666503,True
1394,CD8 T Cell,other,SLC29A1,SLC29A1,2441.1782,8.662326431384766,2.311162323170297e-18,1.7177557807346802e-17,0.06843563019944811,10862.825,0.000999000999000999,0.0036387453605996652,0.4455065447132309,True
1405,CD8 T Cell,other,SLC5A1,SLC5A1,2944.3777,10.447889634923907,7.49109413083524e-26,6.314332217562271e-25,0.06587598447605719,486.67822,0.000999000999000999,0.0036387453605996652,0.1723303517537885,True
1412,CD8 T Cell,other,SLC12A2,SLC12A2,4088.8188,14.508847919615556,5.324708577700776e-48,5.499699000442116e-47,0.09432032454564214,9319.412,0.000999000999000999,0.0036387453605996652,0.3684535231065142,True
1422,CD8 T Cell,other,SLC16A4,SLCO2B1,-981.7635,-3.4837095215781617,0.9997527420584177,1.0,-0.022343017715538146,13680.879,0.000999000999000999,0.0036387453605996652,0.9606994945098448,True
1423,CD8 T Cell,other,SLC3A2,SLC43A2,38.760082,0.13753706378188085,0.4453031492183418,0.773508827038457,0.0009930826430540082,53110.965,0.000999000999000999,0.0036387453605996652,0.46985084311966385,True
1425,CD8 T Cell,other,CD36,CD36,7566.209,26.848089771756694,4.4395448175853576e-159,6.383659214828618e-158,0.20925884764242694,441.9356,0.000999000999000999,0.0036387453605996652,0.24667129365786922,True
1426,CD8 T Cell,other,MSR1,MSR1,12896.653,45.762746814688434,0.0,0.0,0.4153818465494218,93566.01,0.000999000999000999,0.0036387453605996652,0.9034645078249653,True
1427,CD8 T Cell,other,CD36,MSR1,879.6329,3.1213071702923623,0.0009002506038789838,0.003860723837297786,0.02432803030480508,1993.1478,0.000999000999000999,0.0036387453605996652,1.112497712730193,True
1428,CD8 T Cell,other,SLC6A1,SLC6A1,1487.8939,5.279673035945372,6.470730647643585e-08,3.5948503598019917e-07,0.0283873363052559,28.93821,0.004995004995004995,0.015676192566349483,0.04421724976951916,True
1432,CD8 T Cell,other,ABCA1,ABCA1,6338.291,22.49092068940199,2.5465925824185454e-112,3.2384414342894792e-111,0.18848190452649058,103712.38,0.000999000999000999,0.0036387453605996652,1.0942706961931725,True
1433,CD8 T Cell,other,ABCB1,ABCG2,136.9716,0.48603282194370695,0.31347194756366636,0.6421213078585345,0.0027162974516038085,778.8143,0.006993006993006993,0.02076196408180214,0.034581907949661844,True
1434,CD8 T Cell,other,ABCB1,ABCB1,674.46405,2.393281947073267,0.008349201821992095,0.03087099833341615,0.013375363474027803,649.5685,0.000999000999000999,0.0036387453605996652,0.028842971035674632,True
1436,CD8 T Cell,other,ABCG2,ABCG2,3875.8843,13.753266561624205,2.434046058874022e-43,2.3799561464545992e-42,0.08342366021582424,268.66766,0.000999000999000999,0.0036387453605996652,0.11297248593797207,True
1437,CD8 T Cell,other,ABCB1,CD36,140.74966,0.4994389700909716,0.30873508560000196,0.6385265371876144,0.002791220552275507,631.9963,0.000999000999000999,0.0036387453605996652,0.02806270751843918,True
1449,CD8 T Cell,other,ABCG2,FOLR2,918.8454,3.26044968906498,0.0005561784971889552,0.002452089566764933,0.01977702139288899,394.64954,0.000999000999000999,0.0036387453605996652,0.16594680051205715,True
1450,CD8 T Cell,other,ABCC3,ABCC3,1770.7662,6.283422906992508,1.6559924269735399e-10,1.0148143006523085e-09,0.054770430405760455,1909.8875,0.000999000999000999,0.0036387453605996652,0.23290649660920143,True
1453,CD8 T Cell,other,ABCC3,FOLR2,-168.40965,-0.5975882352344107,0.7249426419218137,0.8374473569708074,-0.005208970545780666,1351.8419,0.000999000999000999,0.0036387453605996652,0.16485409395083694,True
1454,CD8 T Cell,other,FOLR2,FOLR2,14605.94,51.82801594127169,0.0,0.0,0.41634953799199387,5985.3203,0.000999000999000999,0.0036387453605996652,0.3759689241859211,True
1457,CD8 T Cell,other,LRP1,LRP1,27339.195,97.01095641864849,0.0,0.0,0.6519581860175405,178422.75,0.000999000999000999,0.0036387453605996652,1.3325107423520401,True
