gene,metabolite,cell_type,mean,std,n
CD3E,Adenosine triphosphate,MAST,0.0,0.0,52
CD3E,Amiloride-sensitive sodium transport,MAST,0.0,0.0,52
CD3E,Anion exchange,MAST,0.0,0.0,52
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,MAST,0.0,0.0,52
CD3E,Chloride,MAST,0.0,0.0,52
CD3E,Chloride ion,MAST,0.0,0.0,52
CD3E,Cholesterol,MAST,0.0,0.0,52
CD3E,Cholic acid,MAST,0.0,0.0,52
CD3E,Citric acid|Oxalic acid,MAST,0.0,0.0,52
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,MAST,0.0,0.0,52
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,MAST,0.0,0.0,52
CD3E,Estradiol,MAST,0.0,0.0,52
CD3E,Fatty acid,MAST,0.0,0.0,52
CD3E,Folic acid,MAST,0.0,0.0,52
CD3E,Folinic acid|Glutathione,MAST,0.0,0.0,52
CD3E,Glycyl-glycine|L-Dopa,MAST,0.0,0.0,52
CD3E,Iron,MAST,0.0,0.0,52
CD3E,L-Carnitine,MAST,0.0,0.0,52
CD3E,L-Cystine,MAST,0.0,0.0,52
CD3E,Nicotinate,MAST,0.0,0.0,52
CD3E,O-Desmethylverapamil (D-702),MAST,0.0,0.0,52
CD3E,Phosphate,MAST,0.0,0.0,52
CD3E,Sodium,MAST,0.0,0.0,52
CD3E,Sodium_hydrogen exchange,MAST,0.0,0.0,52
CD3E,Taurocholic acid,MAST,0.0,0.0,52
CD3E,Testosterone,MAST,0.0,0.0,52
CD3E,Water,MAST,0.0,0.0,52
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",MNP,0.0,0.0,335
CD3E,2-Hydroxychlorpropamide,MNP,0.0,0.0,335
CD3E,25-Hydroxycholesterol,MNP,0.0,0.0,335
CD3E,4'-Hydroxydiclofenac,MNP,0.0,0.0,335
CD3E,4-ene-Valproic acid,MNP,0.0,0.0,335
CD3E,5-Hydroxyomeprazole,MNP,0.0,0.0,335
CD3E,Acetate,MNP,0.0,0.0,335
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,MNP,0.0,0.0,335
CD3E,Adenosine triphosphate,MNP,0.0,0.0,335
CD3E,Amiloride-sensitive sodium transport,MNP,0.0,0.0,335
CD3E,Anion exchange,MNP,0.0,0.0,335
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,MNP,0.0,0.0,335
CD3E,Chloride,MNP,0.0,0.0,335
CD3E,Chloride ion,MNP,0.0,0.0,335
CD3E,Cholesterol,MNP,0.0,0.0,335
CD3E,Cholic acid,MNP,0.0,0.0,335
CD3E,Citric acid|Oxalic acid,MNP,0.0,0.0,335
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,MNP,0.0,0.0,335
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,MNP,0.0,0.0,335
CD3E,Estradiol,MNP,0.0,0.0,335
CD3E,Fatty acid,MNP,0.0,0.0,335
CD3E,Folic acid,MNP,0.0,0.0,335
CD3E,Folinic acid|Glutathione,MNP,0.0,0.0,335
CD3E,Glycyl-glycine|L-Dopa,MNP,0.0,0.0,335
CD3E,Iron,MNP,0.0,0.0,335
CD3E,L-Carnitine,MNP,0.0,0.0,335
CD3E,L-Cystine,MNP,0.0,0.0,335
CD3E,Nicotinate,MNP,0.0,0.0,335
CD3E,O-Desmethylverapamil (D-702),MNP,0.0,0.0,335
CD3E,Phosphate,MNP,0.0,0.0,335
CD3E,Sodium,MNP,0.0,0.0,335
CD3E,Sodium_hydrogen exchange,MNP,0.0,0.0,335
CD3E,Taurocholic acid,MNP,0.0,0.0,335
CD3E,Testosterone,MNP,0.0,0.0,335
CD3E,Water,MNP,0.0,0.0,335
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",Muscularis_mucosa,0.0,0.0,51
CD3E,2-Hydroxychlorpropamide,Muscularis_mucosa,0.0,0.0,51
CD3E,25-Hydroxycholesterol,Muscularis_mucosa,0.0,0.0,51
CD3E,4'-Hydroxydiclofenac,Muscularis_mucosa,0.0,0.0,51
CD3E,4-ene-Valproic acid,Muscularis_mucosa,0.0,0.0,51
CD3E,5-Hydroxyomeprazole,Muscularis_mucosa,0.0,0.0,51
CD3E,Acetate,Muscularis_mucosa,0.0,0.0,51
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,Muscularis_mucosa,0.0,0.0,51
CD3E,Adenosine triphosphate,Muscularis_mucosa,0.0,0.0,51
CD3E,Amiloride-sensitive sodium transport,Muscularis_mucosa,0.0,0.0,51
CD3E,Anion exchange,Muscularis_mucosa,0.0,0.0,51
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,Muscularis_mucosa,0.0,0.0,51
CD3E,Chloride,Muscularis_mucosa,0.0,0.0,51
CD3E,Chloride ion,Muscularis_mucosa,0.0,0.0,51
CD3E,Cholesterol,Muscularis_mucosa,0.0,0.0,51
CD3E,Cholic acid,Muscularis_mucosa,0.0,0.0,51
CD3E,Citric acid|Oxalic acid,Muscularis_mucosa,0.0,0.0,51
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,Muscularis_mucosa,0.0,0.0,51
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,Muscularis_mucosa,0.0,0.0,51
CD3E,Estradiol,Muscularis_mucosa,0.0,0.0,51
CD3E,Fatty acid,Muscularis_mucosa,0.0,0.0,51
CD3E,Folic acid,Muscularis_mucosa,0.0,0.0,51
CD3E,Folinic acid|Glutathione,Muscularis_mucosa,0.0,0.0,51
CD3E,Glycyl-glycine|L-Dopa,Muscularis_mucosa,0.0,0.0,51
CD3E,Iron,Muscularis_mucosa,0.0,0.0,51
CD3E,L-Carnitine,Muscularis_mucosa,0.0,0.0,51
CD3E,L-Cystine,Muscularis_mucosa,0.0,0.0,51
CD3E,Nicotinate,Muscularis_mucosa,0.0,0.0,51
CD3E,O-Desmethylverapamil (D-702),Muscularis_mucosa,0.0,0.0,51
CD3E,Phosphate,Muscularis_mucosa,0.0,0.0,51
CD3E,Sodium,Muscularis_mucosa,0.0,0.0,51
CD3E,Sodium_hydrogen exchange,Muscularis_mucosa,0.0,0.0,51
CD3E,Taurocholic acid,Muscularis_mucosa,0.0,0.0,51
CD3E,Testosterone,Muscularis_mucosa,0.0,0.0,51
CD3E,Water,Muscularis_mucosa,0.0,0.0,51
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",Myofibroblast,0.0,0.0,193
CD3E,2-Hydroxychlorpropamide,Myofibroblast,0.0,0.0,193
CD3E,25-Hydroxycholesterol,Myofibroblast,0.0,0.0,193
CD3E,4'-Hydroxydiclofenac,Myofibroblast,0.0,0.0,193
CD3E,4-ene-Valproic acid,Myofibroblast,0.0,0.0,193
CD3E,5-Hydroxyomeprazole,Myofibroblast,0.0,0.0,193
CD3E,Acetate,Myofibroblast,0.0,0.0,193
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,Myofibroblast,0.0,0.0,193
CD3E,Adenosine triphosphate,Myofibroblast,0.0,0.0,193
CD3E,Amiloride-sensitive sodium transport,Myofibroblast,0.0,0.0,193
CD3E,Anion exchange,Myofibroblast,0.0,0.0,193
