sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,Tier1_n_sig_pairs,Tier1_interactions,Tier1_within_Tcell,Tier1_Tcell_interfaces,Tier1_tcell_involved,Tier2_n_sig_pairs,Tier2_interactions,Tier2_within_Tcell,Tier2_Tcell_interfaces,Tier2_tcell_involved,Tier3_n_sig_pairs,Tier3_interactions,Tier3_within_Tcell,Tier3_Tcell_interfaces,Tier3_tcell_involved
Human_Lung,Testosterone,15,"ABCB1, ABCG2, SLC10A1, SLC22A1, SLC22A4",True,0.0011336181233537,7,1,other (self) (1.6e-03),,,False,2,CD4 T Cell (self) (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),,True,3,Exhausted CD8–other (1.4e-02); Exhausted CD4 (self) (1.6e-02); other (self) (5.8e-03),Exhausted CD4 (self) (1.6e-02),Exhausted CD8–other (1.4e-02),True
Human_Lung,Thiamine,1,SLC19A1,True,0.0011336181233537,1,1,other (self) (1.6e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (5.8e-03),,,False
Human_Lung,Thymidine,3,"SLC22A1, SLC29A1",True,0.0011336181233537,3,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,3,CD4 T Cell (self) (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD8 T Cell–other (2.4e-03),True,6,Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Exhausted CD4 (1.4e-02); Cytotoxic CD4–Exhausted CD8 (2.5e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03),Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Exhausted CD4 (1.4e-02); Cytotoxic CD4–Exhausted CD8 (2.5e-02),True
Human_Lung,Thyroxine,3,"SLCO1B1, SLCO1C1",False,0.1598401612873319,1,1,other (self) (7.3e-03),,,False,1,other (self) (1.3e-02),,,False,1,other (self) (2.2e-02),,,False
Human_Lung,Trihydroxycoprostanoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,Urate,1,SLC22A12,False,0.0664270775658743,0,0,,,,False,0,,,,False,0,,,,False
Human_Lung,Urea,3,"SLC5A1, SLC5A5",True,0.0011336181233537,3,2,T Cell–other (1.6e-03); other (self) (1.6e-03),,T Cell–other (1.6e-03),True,2,CD8 T Cell–other (6.8e-03); other (self) (2.4e-03),,CD8 T Cell–other (6.8e-03),True,3,Exhausted CD4–other (1.4e-02); Cytotoxic CD8–other (1.9e-02); other (self) (5.8e-03),,Exhausted CD4–other (1.4e-02); Cytotoxic CD8–other (1.9e-02),True
Human_Lung,Uridine,1,SLC29A1,True,0.0011336181233537,1,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,3,CD4 T Cell (self) (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD8 T Cell–other (2.4e-03),True,6,Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Exhausted CD4 (1.4e-02); Cytotoxic CD4–Exhausted CD8 (2.5e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03),Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Exhausted CD4 (1.4e-02); Cytotoxic CD4–Exhausted CD8 (2.5e-02),True
Human_Lung,Ursocholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,Ursodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,Ursodeoxycholic acid 3-sulfate,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,Varanic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,Vitamin C,1,SLC23A2,True,0.022083179731118,1,2,T Cell (self) (1.6e-03); other (self) (1.7e-02),T Cell (self) (1.6e-03),,True,2,CD4 T Cell (self) (2.4e-03); other (self) (2.9e-02),CD4 T Cell (self) (2.4e-03),,True,2,Exhausted CD4 (self) (5.8e-03); other (self) (3.5e-02),Exhausted CD4 (self) (5.8e-03),,True
Human_Lung,Vitamin D3,1,CD36,True,0.0011336181233537,1,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,3,CD4 T Cell (self) (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD8 T Cell–other (2.4e-03),True,7,CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Cytotoxic CD8–Exhausted CD4 (3.0e-02); Cytotoxic CD8–Exhausted CD8 (3.3e-02); Exhausted CD4–Treg (3.5e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03),CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Cytotoxic CD8–Exhausted CD4 (3.0e-02); Cytotoxic CD8–Exhausted CD8 (3.3e-02); Exhausted CD4–Treg (3.5e-02),True
Human_Lung,Water,28,"AQP4, AQP5, AQP7, AQP8, AQP9, ATP7A, ATP7B",True,0.0011336181233537,12,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,5,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (1.3e-02); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03); CD8 T Cell (self) (1.3e-02),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,8,CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–Treg (5.8e-03); Exhausted CD4–other (5.8e-03); Cytotoxic CD8 (self) (2.2e-02); CD4–Exhausted CD4 (4.2e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03); Cytotoxic CD8 (self) (2.2e-02),CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4–Treg (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Exhausted CD4 (4.2e-02),True
Human_Lung,Zinc,3,"SLC30A8, SLC39A8",True,0.0011336181233537,2,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,6,CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–Treg (1.4e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03),CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–Treg (1.4e-02),True
Human_Lung,alpha-Ketoisovaleric acid,1,SLC16A1,True,0.0011336181233537,1,2,T Cell (self) (4.5e-03); other (self) (7.3e-03),T Cell (self) (4.5e-03),,True,2,CD4 T Cell–CD8 T Cell (2.8e-02); other (self) (2.2e-02),,CD4 T Cell–CD8 T Cell (2.8e-02),True,2,CD4–Cytotoxic CD8 (1.6e-02); other (self) (1.0e-02),,CD4–Cytotoxic CD8 (1.6e-02),True
Human_Lung,alpha-Tocopherol,3,"NPC1L1, SCARB1",True,0.0011336181233537,1,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,4,CD4 T Cell (self) (2.4e-03); CD8 T Cell–other (4.4e-02); CD4 T Cell–CD8 T Cell (4.7e-02); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD8 T Cell–other (4.4e-02); CD4 T Cell–CD8 T Cell (4.7e-02),True,5,Exhausted CD4 (self) (5.8e-03); CD4 (self) (1.6e-02); CD4–Treg (1.6e-02); CD4–other (4.2e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03); CD4 (self) (1.6e-02),CD4–Treg (1.6e-02); CD4–other (4.2e-02),True
