cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD8 T Cell,ABCC1_ABCC1,9364,0.023601025202904743,0.32578270638759554,13.67914914859571,1.4763983981408477,-0.670205707320523
CD8 T Cell,ATP7B_TAP1,9364,0.00010679196924391286,0.0354163223213172,86.21540495451245,2.2820498076795896,-2.5624369891858434
CD8 T Cell,ATP7A_TAP1,9364,0.0034173430158052115,0.8265398284284279,87.29834339633035,1.6071287671182646,0.17368220129466572
CD8 T Cell,TAP1_TAP1,9364,0.09354976505766767,4.752435605493718,38.09003618373626,0.8965115855335388,0.5031448791690738
CD8 T Cell,AQP5_ATP7A,9364,0.0,0.0,,2.8872717735119204,-inf
CD8 T Cell,AQP9_ATP7A,9364,0.00010679196924391286,0.0158634791776194,30.57714359401257,2.7966489290019187,-3.220044791738766
CD8 T Cell,AQP7_ATP7B,9364,0.0,0.0,,2.966942839643701,-inf
CD8 T Cell,AQP5_AQP9,9364,0.0,0.0,,2.979125663352646,-inf
CD8 T Cell,AQP5_AQP5,9364,0.0,0.0,,2.984520393904768,-inf
CD8 T Cell,AQP9_AQP9,9364,0.00074754378470739,0.01085407532475874,14.519651620148693,2.8781258373656198,-2.01896287664773
CD8 T Cell,ABCC2_SLC22A5,9364,0.00021358393848782572,0.01801973306613366,28.197185716579952,2.7737458739690366,-3.743606747795779
CD8 T Cell,ABCC4_SLC22A5,9364,0.00010679196924391286,0.01622609240753949,30.19178232414197,2.790425788926055,-4.258179920625537
CD8 T Cell,SLC24A4_SLC24A4,9364,0.0,0.0,,2.9208063350503655,-inf
CD8 T Cell,CLCN4_CLCN4,9364,0.0,0.0,,2.9914218280314344,-inf
CD8 T Cell,CLCN5_CLCN5,9364,0.00149508756941478,0.010835749803071332,7.247568653997139,1.9319154594882593,-3.6463095464408637
CD8 T Cell,CLCN3_CLCN3,9364,0.013135412217001282,0.6087413438076205,29.041867986346496,0.7672886810508355,-2.8963090543116206
CD8 T Cell,CLCN3_CLCN5,9364,0.0012815036309269544,0.23104542848552354,38.69654947309521,2.5989346997465974,-1.0661321082850845
CD8 T Cell,SLC9A1_SLC9A1,9364,0.004058094831268688,0.04394404046848932,10.828736709129842,1.931569665193814,-1.8935332057802396
CD8 T Cell,SLC6A17_SLC6A17,9364,0.00854335753951303,0.25174333696758505,24.196103867487757,0.9301936895545135,-3.493240947008763
CD8 T Cell,SLC6A9_SLC6A9,9364,0.0003203759077317386,0.0026309765973026623,8.21215495238071,2.4039058914695093,-4.612362214517526
CD8 T Cell,SLC6A17_SLC6A9,9364,0.00010679196924391286,0.03598849466691405,27.721305417408075,2.796826192270462,-3.435057682709616
CD8 T Cell,SLC26A2_SLC26A2,9364,0.00523280649295173,0.0650540617629922,12.431963966299161,1.4476393716851061,-3.2142497700891606
CD8 T Cell,ORAI2_ORAI3,9364,0.0009611277231952157,0.1627925295037752,43.153411422611285,2.5297238105330493,-0.9432045863799415
CD8 T Cell,ORAI2_ORAI2,9364,0.009611277231952157,0.10773750558883165,11.209488914820218,1.8059343928058451,-1.0475412461946771
CD8 T Cell,ORAI3_ORAI3,9364,0.0058735583084152075,0.06279777473572079,10.69160659318708,1.6859039536304088,-2.1401153182210146
CD8 T Cell,SCNN1A_SCNN1G,9364,0.0,0.0,,2.99923266745952,-inf
CD8 T Cell,SCNN1A_SCNN1A,9364,0.0,0.0,,2.8966708699818557,-inf
CD8 T Cell,SCNN1G_SCNN1G,9364,0.0,0.0,,2.9998554209307327,-inf
CD8 T Cell,SLC23A2_SLC23A2,9364,0.0035241349850491242,0.038940268662967216,11.049596235152274,1.598865515538397,-3.3430688182120503
other,SLC2A1_SLC2A1,103187,0.03771792958415304,1.0876459659133617,28.836311481167026,1.702711175162967,0.10032893033487253
other,SLC2A9_SLC2A9,103187,0.001763788074079099,0.016280560611045974,9.23045169105495,2.800740472588601,0.10955033466241652
other,SLC2A3_SLC2A3,103187,0.06289551978446897,2.96090935451523,34.70873262498908,0.9926519426994199,0.05863800593043748
other,SLC2A1_SLC2A3,103187,0.004409470185197748,1.4386784306278897,96.83849472575889,1.7859547192010423,0.08159627309141519
other,SLC2A1_SLC2A9,103187,0.0023452566699293516,0.14820430792671074,28.850109946648082,2.7802501979577956,0.03295363237207327
other,SLC1A5_SLC3A2,103187,0.002006066655683371,1.6753514805381664,64.9906939661513,1.7855850709166257,0.06391710585658958
other,SLC38A7_SLC3A2,103187,0.0032756064232897556,0.6929660803516409,47.90861703442676,2.055151304027889,0.10834457191701935
other,SLC3A2_SLC7A5,103187,0.004021824454630913,4.033273194627972,73.06642638543232,1.7030656561449196,0.07074111766592195
other,SLC1A5_SLC1A5,103187,0.04530609475999884,0.48781228891228184,10.266800466419541,1.4024388037531137,0.06665851491396685
other,SLC7A5_SLC7A5,103187,0.08754009710525551,2.4286872898418386,21.267766485963264,1.0411781482225833,0.10407318581695077
other,SLC1A5_SLC38A7,103187,0.001531200635738998,0.35036404630351314,32.82503589967503,2.4385864914472237,0.002833643995737735
other,SLC1A5_SLC7A5,103187,0.0024906238188919148,1.8657801218709393,66.37209345231545,1.846661237747769,0.006820887885423598
other,SLC38A7_SLC38A7,103187,0.010805624739550525,0.07351080059356445,6.803012538877251,2.082043898926831,0.1047624313385797
other,SLC38A7_SLC7A5,103187,0.00476804248597207,0.7737756058503258,49.570686233811465,2.1039998744868447,0.10204787119788561
other,SLC3A2_SLC3A2,103187,0.06566718675802184,1.7588377814676184,18.92541012464149,1.0446220642478676,0.09790119099954514
other,SLC7A7_SLC7A7,103187,0.021310824037911753,0.3302823130835409,15.498336080105199,1.9098367295507397,0.011809982950566348
other,SLC43A2_SLC43A2,103187,0.008266545204337755,0.09052324358738112,10.95055326617948,2.3631053737906833,0.08858037511933187
other,SLC1A5_SLC7A11,103187,0.0006977623150203029,0.03259090640938167,17.60027312162333,2.8357996038173034,0.08578928633409551
other,SLC7A11_SLC7A11,103187,0.0004070280170951767,0.0021290353941781515,5.230685124263355,2.9791517055711094,0.1253176505207328
other,SLC16A1_SLC16A1,103187,0.056576894376229564,0.7284838945080258,11.750727465903303,1.325887513358489,0.10616980892393282
other,SLC16A1_SLC16A4,103187,0.005068467927161367,2.311387479871164,62.47512946234766,1.9132115378837107,0.10070235126648462
other,SLC16A4_SLC16A4,103187,0.09298651961971954,2.334895012009075,20.855312638903396,1.0940228208578087,0.10946698586015151
other,SLC16A1_SLC22A5,103187,0.0022095806642309593,0.46543458474300586,29.695180639941793,2.4258682919906533,0.09402152003119452
other,SLC22A5_SLCO2B1,103187,0.002151433804645934,0.6474892149329737,59.308341860663326,2.03074691200857,0.09318502957992408
other,SLCO2B1_SLCO2B1,103187,0.05565623576613333,2.1010873464347846,27.224330808472175,1.0572578510872066,0.06456620923061476
other,SLC22A5_SLC22A5,103187,0.013490071423725858,0.09071676858094108,6.724706321524114,2.0821312926653652,0.11190673126117304
other,SLC16A1_SLC1A5,103187,0.0018219349336641244,1.067669576118858,49.525953290168914,2.0111817703188,0.0505498821187608
other,SLC3A2_SLC7A11,103187,0.0007559091746053282,0.06384790790313917,18.441055311550365,2.7334716903821215,0.035680438036056514
other,SLC16A1_SLC7A11,103187,0.001143554905172163,0.04606343290092503,16.49570108867565,2.816630018243972,0.06544619454333424
other,SLC16A1_SLC3A2,103187,0.0031205481310630214,2.114450613234257,62.965634892042665,1.7628777024249538,0.09868252401726621
other,SLC1A3_SLC1A3,103187,0.006783800284919612,0.07513905324576559,11.076247838958306,2.4230783518273395,0.08868872853001032
other,SLC1A1_SLC1A1,103187,1.938228652834175e-05,0.0007502990038279096,38.71055165399525,2.9964387726294066,0.12531765052073307
other,SLC1A1_SLC1A2,103187,1.938228652834175e-05,0.0011537565873413484,59.52634048899586,2.9977281334092996,0.12531765052073307
other,SLC39A8_SLC39A8,103187,0.033977148284183085,0.4893113263577206,14.399343709256431,1.6641913118087064,0.08474424984792961
other,SLC30A8_SLC30A8,103187,0.00031980772771763883,0.0017435274864983621,5.4517991136153485,2.9990512655179087,0.1253176505207328
other,CUBN_CUBN,103187,0.004952174207991317,0.03521830707049038,7.11168581542601,2.5654875165205087,0.11126987603510023
other,CUBN_SLC3A2,103187,0.0021029780883250796,0.3822366718492012,46.589768062558356,2.2440113697666066,0.09896632357378066
other,SLC11A2_SLC3A2,103187,0.0021029780883250796,3.4796986468042683,71.07419970972066,1.5754117980095625,0.053978868800470606
other,SLC40A1_SLC40A1,103187,0.05337881709905318,1.4368503943865676,26.77924127942739,1.5096892961186652,-0.010327374678420525
other,SLC11A2_SLC11A2,103187,0.061383701435258314,1.9240138622951437,20.29661119979675,0.9966537864757182,0.0969003529676357
other,CUBN_SLC11A2,103187,0.0018800817932491496,0.39186687701492134,48.136564687633445,2.191896484982879,0.11052064859265244
other,SLC16A9_SLC16A9,103187,0.0002907342979251262,0.0015039544676383367,5.172951655073235,2.996075537173104,0.1253176505207328
other,SLC12A2_SLC5A3,103187,0.003072092414742167,1.0551213003155193,51.02593899657402,1.9890830099952461,0.08936077274432339
other,SLC12A2_SLC1A5,103187,0.0016474943549090485,0.6907540004314345,44.230654426861626,2.1265857906041306,0.08349747482610576
other,SLC5A1_SLC5A5,103187,0.000310116584453468,0.0029206289759426294,9.417841941893503,2.9899579631912125,0.12531765052073307
other,SLC10A1_SLC10A1,103187,1.938228652834175e-05,0.000696980725416958,35.959675056799824,3.0001481796482667,0.12531765052073307
other,SLC5A3_SLC5A3,103187,0.05340789052884569,0.9873128774562886,14.650455138974767,1.1926819303490679,0.0748992146767883
other,SLC12A2_SLC12A2,103187,0.03921036564683536,0.31993489704460903,8.155583968181112,1.6092133841082845,0.1051348161864811
other,SLC22A5_SLC29A1,103187,0.006231405118861872,1.166910300164967,59.33246678527328,1.9759070909807603,0.12083722753806386
other,SLC10A1_SLC6A2,103187,9.691143264170874e-06,0.00072651226576537,74.96662116753123,3.0000778247270907,0.12531765052073307
other,SLC1A5_SLC29A1,103187,0.0028007404033453826,2.4753710167535763,79.23581681033106,1.682991023060133,0.04285549032875996
other,SLC5A7_SLC5A7,103187,1.938228652834175e-05,0.00026365103797874363,13.602679827956308,3.0002211127686365,0.12531765052073307
other,SLC22A5_SLC5A3,103187,0.0030527101282138256,0.5598408734935996,41.48332624563253,2.1556896759065243,0.11618663876860473
other,SLC1A5_SLC22A5,103187,0.0016668766414373905,0.36351598997880896,30.874831713460072,2.4526964253190915,-0.0106600189982416
other,SLC12A2_SLC29A1,103187,0.005620863093219107,2.1954104095923155,69.53399654927767,1.793769029719413,0.10065559628646376
other,SLC1A5_SLC5A3,103187,0.001928537509570004,1.2598737908989663,56.786390750938494,1.8966143140657448,0.027232650838543558
other,SLC6A4_SLC6A4,103187,3.87645730566835e-05,0.001068162898948687,27.55513126345454,2.999080438766055,0.12531765052073307
other,SLC29A1_SLC29A1,103187,0.09444988225260934,4.250177928778717,29.923261280894486,0.9065638199600182,0.10605496305818042
other,SLC5A5_SLC5A5,103187,0.000310116584453468,0.001435793083582633,4.629849403613786,2.9978383734677303,0.12531765052073307
other,SLC29A1_SLC5A3,103187,0.002141742661381763,3.7234493515113383,66.70270508044122,1.5998537615350041,0.09304124749697662
other,SLC5A1_SLC5A1,103187,0.004244720749706843,0.08591945964772184,20.241486946733957,2.94538889319578,0.12531765052073307
other,SLC12A2_SLC22A5,103187,0.0025972263947977945,0.3271291547451779,27.784652657057336,2.519049727759432,0.09337475801797879
other,SLC16A4_SLCO2B1,103187,0.0014827449194181439,2.84476669244342,78.67211368686051,1.552047704873141,0.051788615098767685
other,CD36_MSR1,103187,0.006066655683370967,1.2347951750526431,98.46772241580854,2.2771381268372837,0.07326182945421296
other,CD36_CD36,103187,0.03311463653367188,1.318896857474533,39.828214817742065,1.944581570148094,0.09358125555513666
other,CD36_CPT1A,103187,0.002858887262930408,0.4490357918702513,52.131270808640714,2.538725352765776,0.06779394939975701
other,MSR1_MSR1,103187,0.0597265159370851,1.7998947559160077,28.90609771050451,1.368685092357611,0.004358755084871577
other,CPT1A_MSR1,103187,0.003159312704119705,0.7250071925790691,80.82175656408926,2.2777890047555944,-0.1033830232839381
other,CPT1A_CPT1A,103187,0.015932239526296917,0.1949100252786782,12.233686604885017,1.933691639494498,0.02777246673045496
other,SLC6A1_SLC6A1,103187,0.00011629371917005049,0.001336871380411347,11.495645594208804,2.996204395191375,0.1253176505207328
other,SLCO1C1_SLCO1C1,103187,0.00010660257590587962,0.0015285073704842608,14.338371821650856,2.998200121744763,0.12531765052073307
other,ABCA1_ABCA1,103187,0.054561136577282024,2.233785327352283,28.4648589001719,1.0241367719047638,0.0836439115944908
other,ABCB1_ABCB1,103187,0.001385833486776435,0.011347990866310626,8.188567367286677,2.8873437725969398,-0.03673910758823996
other,ABCG2_CD36,103187,0.00016474943549090487,0.01613016957936497,65.39691607931856,2.940895425790219,0.12531765052073307
other,ATP7A_ATP7A,103187,0.028831151210908353,0.24421920068111005,8.470671146447632,1.742498788039502,0.10079533138666408
other,SLC20A2_SLC20A2,103187,0.0037989281595549825,0.024855502031024945,6.542767061416763,2.5351531817033743,0.10340287409229212
other,ATP7A_ATP7B,103187,0.0018413172201924661,0.04643233908195724,14.89221492657524,2.820633548303892,0.09526041666455322
other,ATP7B_SLC20A2,103187,0.00048455716320854373,0.01714868240817817,17.8916952937712,2.881084718359124,0.12531765052073307
other,ATP7A_SLC20A2,103187,0.0017347146442865866,0.12122900997600584,20.73846751833096,2.692925138603681,0.04689100356391683
other,SLC19A1_SLC19A1,103187,0.0011629371917005048,0.007206838239893491,6.19710014549908,2.8154492321300775,0.1014709085663649
