cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD8 T Cell,D-Xylose,9364,0.025630072618539085,1.3326245536912826,31.381646568928378,0.9394836957901943,-1.0303409891084925
CD8 T Cell,Dehydroascorbic acid,9364,0.0019222554463904314,2.2106767131814182,123.2574496962972,0.797302863891721,-2.2371183050977073
CD8 T Cell,Deoxycholic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Docosahexaenoic acid,9364,0.0019222554463904314,2.2106767131814182,123.2574496962972,0.797302863891721,-2.2371183050977073
CD8 T Cell,Dopamine,9364,0.001388295600170867,0.011352513193164276,8.17730258006079,2.076373249851294,-3.168604566648358
CD8 T Cell,E-3179,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,Estradiol,9364,0.020397266125587357,1.6555086626764317,38.40504147131786,0.9807988535818175,-0.8042877437961837
CD8 T Cell,Estriol,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,Estrone sulfate,9364,0.0,0.0,,2.9986659602473074,-inf
CD8 T Cell,Ethanol,9364,0.005766766339171294,0.7842731924278368,43.63381075662836,0.7450982276713045,-2.4715835587347303
CD8 T Cell,Fatty acid,9364,0.007261853908586074,3.9184964254476644,143.76284449082593,0.9964742878019801,-0.9242099994669131
CD8 T Cell,Folic acid,9364,0.003951302862024776,0.08339064802006195,17.305889983597122,1.9888187760602012,-1.0154138095666594
CD8 T Cell,Folinic acid,9364,0.00042716787697565144,0.06345129603707746,36.134761330788066,1.7200939049710136,-3.258179920625537
CD8 T Cell,Fusidic Acid,9364,0.002349423323366083,0.020080661602259353,8.547059783798026,1.9592748945183258,-3.0037871565744196
CD8 T Cell,GABA,9364,0.0,0.0,,2.9963191864664958,-inf
CD8 T Cell,Glucosamine,9364,0.007261853908586074,0.10096766226972419,13.903841021966135,1.6702337995872332,-2.271767832323926
CD8 T Cell,Glutathione,9364,0.0034173430158052115,0.5448954178313319,36.323332292932015,1.2293347162685948,-0.7877293010280865
CD8 T Cell,Glycerol,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,Glycochenodeoxycholate-3-sulfate,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Glycyl-glycine,9364,0.0,0.0,,2.9701673426211155,-inf
CD8 T Cell,Guanosine,9364,0.012921828278513455,0.6607908337883268,31.91475595570117,0.7722577981978764,-2.55384698691442
CD8 T Cell,Heme,9364,0.012067492524562153,0.31617176508114864,23.511523496480816,1.2604094379934316,-1.757417833941662
CD8 T Cell,Histamine,9364,0.001388295600170867,0.011352513193164276,8.17730258006079,2.076373249851294,-3.168604566648358
CD8 T Cell,Hydroxycelecoxib,9364,0.0017086715079026058,0.013892627967957207,8.130660518246955,2.2171777188862634,-2.2087294785109317
CD8 T Cell,Hydroxylansoprazole,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,Hyodeoxycholic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Inosine,9364,0.012921828278513455,0.6607908337883268,31.91475595570117,0.7722577981978764,-2.55384698691442
CD8 T Cell,Iron,9364,0.025630072618539085,3.4866246323886125,53.109369222113514,0.6453241487782524,-0.1599877471321884
CD8 T Cell,Isoursodeoxycholic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Ketone bodies,9364,0.007368645877829988,0.11570623234672776,13.622501587663693,1.2918123093663385,-2.5715373441682665
CD8 T Cell,L-Alanine,9364,0.01751388295600171,0.2645219607496674,13.843083283603702,1.3893052311375487,-1.0024095175234267
CD8 T Cell,L-Arginine,9364,0.011853908586074328,0.4564721970108068,24.950832521421045,0.950098074334681,-2.5578532176457487
CD8 T Cell,L-Asparagine,9364,0.01751388295600171,0.2645219607496674,13.843083283603702,1.3893052311375487,-1.0024095175234267
