,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
58,SLC1A1,SLC1A1,138957.28691077197,42.40222318971965,0.0,0.0,0.01481731777590414,2467.454671195269,0.000999001,0.001998001942411065,0.01791892168221397,True
60,SLC16A1,SLC1A3,-35304.43983079836,-6.821663077017971,0.9999999999955004,1.0,-0.005552191508722237,549602.5205321363,0.000999001,0.001998001942411065,0.13957939587185622,True
61,SLC1A3,SLC3A2,-10028.56340117362,-1.8893214039631527,0.9705756123935536,1.0,-0.002004060327221973,2233392.055280445,0.000999001,0.001998001942411065,1.5104663747003022,True
64,SLC1A3,SLC1A3,126752.4788708913,38.67797809254088,0.0,0.0,0.025329611442897918,158349.595933243,0.000999001,0.001998001942411065,0.10709348568651078,True
65,SLC16A1,SLC7A11,-25279.121293507473,-4.884531497280496,0.9999994816246524,1.0,-0.003975548777050169,231162.71822539115,0.000999001,0.001998001942411065,0.05870706802209724,True
66,SLC3A1,SLC3A2,41279.99942456888,7.776905160643197,3.716013998859785e-15,9.256657625902218e-15,0.006879854532073788,62921.61908881711,0.000999001,0.001998001942411065,1.5646668257647014,True
67,SLC3A1,SLC3A1,20184.007297345182,6.15906370447864,3.6588144075126325e-10,8.900975400732487e-10,0.003363930136040716,249.64326628299602,0.000999001,0.001998001942411065,0.006207858963024829,True
68,SLC3A1,SLC7A11,1618.2190949972355,0.3410147412243622,0.3665462421537693,0.6050922092697144,0.0002696974837644719,2786.887795784106,0.002997003,0.005798852374387342,0.0693013139893422,True
70,SLC39A8,SLC39A8,513520.71233916853,156.69865425000097,0.0,0.0,0.08171430664188888,209246.35762769368,0.000999001,0.001998001942411065,0.12828747915470992,True
73,SLC40A1,SLC40A1,3837269.8460793607,1170.92652044306,0.0,0.0,0.37431867037788374,4706575.038110429,0.000999001,0.001998001942411065,0.4678860846504464,True
75,SLC11A1,SLC11A2,6966.246693256333,1.402319016877673,0.08041000206205301,0.14801133122926574,0.0010688124975764917,120549.33231312333,0.000999001,0.001998001942411065,0.9863535271105237,True
77,CUBN,SLC40A1,990428.3678098742,100.59660219143439,0.0,0.0,0.10003765901900895,246418.64337277898,0.000999001,0.001998001942411065,0.9819335257093446,True
78,SLC11A1,SLC11A1,35430.078202986784,10.811337188505567,1.5210152491916722e-27,4.162778576735103e-27,0.005435941625513047,1500.7253124541398,0.000999001,0.001998001942411065,0.012279169670706172,True
80,SLC11A1,SLC3A2,55801.29041002778,10.512629588410586,3.7778447873801555e-26,1.0271787134314671e-25,0.008561441935277492,168055.70454176964,0.000999001,0.001998001942411065,1.3750581089512446,True
81,SLC11A2,SLC11A2,333006.9103689441,101.6156378056654,0.0,0.0,0.0626223546131375,6263907.205763346,0.000999001,0.001998001942411065,0.47218350818201116,True
82,CUBN,CUBN,88374.05196586787,26.966964877796013,1.8041615748166862e-160,6.583607150208258e-160,0.008926171305289957,3930.5766841376962,0.000999001,0.001998001942411065,0.0156626339983845,True
83,SLC11A2,SLC3A2,137337.7150724975,25.87360465084128,6.60109042856788e-148,2.3470543746019128e-147,0.025826524397044595,15872289.049505677,0.000999001,0.001998001942411065,1.1964789515685654,True
86,SLC11A1,SLC39A8,76028.7529852675,13.99598272272472,8.246696716633428e-45,2.415933685999652e-44,0.011664887125584287,22229.86283202245,0.000999001,0.001998001942411065,0.18188822111925954,True
88,SLC22A5,SLC22A8,2133.3247713164965,0.38563287340180663,0.3498842917266848,0.5822074614332035,0.00044928430481432996,5980.569309968806,0.007992008,0.015181165443707819,0.0008372024198350673,True
