,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
100,L-Glutamine,3257030.101656652,174.74128158847537,0.0,0.0,56776082.21254612,0.000999001,0.0010447068979927137,True
101,L-Histidine,406657.58952240215,124.08982829230527,0.0,0.0,412151.9582898128,0.000999001,0.0010447068979927137,True
102,L-Isoleucine,388388.37516711256,118.51505548394407,0.0,0.0,1513156.159407226,0.000999001,0.0010447068979927137,True
103,L-Lactate,2537725.1883110562,256.68321717680385,0.0,0.0,1762442.3572505375,0.000999001,0.0010447068979927137,True
104,L-Leucine,3163290.5125796534,213.21678601175532,0.0,0.0,51550458.24239886,0.000999001,0.0010447068979927137,True
105,L-Lysine,20184.007297345182,6.15906370447864,3.6588144075126325e-10,3.8768894384239815e-10,249.64326628299602,0.000999001,0.0010447068979927137,True
106,L-Methionine,917549.583523306,127.16846138533306,0.0,0.0,3123634.6957743787,0.000999001,0.0010447068979927137,True
107,L-Ornithine,20184.007297345182,6.15906370447864,3.6588144075126325e-10,3.8768894384239815e-10,249.64326628299602,0.000999001,0.0010447068979927137,True
108,L-Phenylalanine,917549.583523306,127.16846138533306,0.0,0.0,3123634.6957743787,0.000999001,0.0010447068979927137,True
109,L-Serine,1491354.3797605108,211.64252040668669,0.0,0.0,30241577.467314366,0.000999001,0.0010447068979927137,True
110,L-Threonine,489917.1443854752,149.49612620201967,0.0,0.0,5093093.127179179,0.000999001,0.0010447068979927137,True
111,L-Tyrosine,406657.58952240215,124.08982829230527,0.0,0.0,412151.9582898128,0.000999001,0.0010447068979927137,True
112,L-Valine,388388.37516711256,118.51505548394407,0.0,0.0,1513156.159407226,0.000999001,0.0010447068979927137,True
113,Leukotriene C4,204292.95383087316,62.3391231723326,0.0,0.0,7551612.18867499,0.000999001,0.0010447068979927137,True
114,Lithocholic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
115,Malic acid,126752.4788708913,38.67797809254088,0.0,0.0,158349.595933243,0.000999001,0.0010447068979927137,True
116,Manganese,624979.5435274228,87.52520563423859,0.0,0.0,232976.94577217026,0.000999001,0.0010447068979927137,True
117,N-Desmethylcitalopram,628568.7565029431,74.9544606024642,0.0,0.0,28679.680968101777,0.000999001,0.0010447068979927137,True
118,N-Desmethyleletriptan,616528.800044748,188.13113269240793,0.0,0.0,27540.719240543338,0.000999001,0.0010447068979927137,True
119,N-Desmethyltamoxifen,2526388.5644418923,289.54931917797575,0.0,0.0,112945.40766903324,0.000999001,0.0010447068979927137,True
120,N-desmethylimatinib,2781704.0936230896,152.51050160939047,0.0,0.0,139074.64904618205,0.000999001,0.0010447068979927137,True
121,Neurotransmitter,750365.9968908229,63.197894853232015,0.0,0.0,944683.2454580087,0.000999001,0.0010447068979927137,True
122,Nicotinate,1663872.916367392,143.76208574983934,0.0,0.0,18087223.329165466,0.000999001,0.0010447068979927137,True
123,Norepinephrine,1074459.474715641,68.32273110207757,0.0,0.0,3116099.585512394,0.000999001,0.0010447068979927137,True
124,O-Deethylated candesartan,616528.800044748,188.13113269240793,0.0,0.0,27540.719240543338,0.000999001,0.0010447068979927137,True
125,O-Desmethylverapamil (D-702),5682537.193774801,120.72388970876727,0.0,0.0,47731359.33894381,0.000999001,0.0010447068979927137,True
126,Oxalic acid,998284.6188671486,304.6222919079436,0.0,0.0,4964989.6242681295,0.000999001,0.0010447068979927137,True
127,Phosphate,494071.6226035737,47.69096799689979,0.0,0.0,2534608.3410798577,0.000999001,0.0010447068979927137,True
129,Progesterone,1087849.1082074312,53.74125869286297,0.0,0.0,8358082.93461619,0.000999001,0.0010447068979927137,True
131,Prostaglandins,212460.05723983835,19.8825094150444,2.883789065579362e-88,3.2042100728659576e-88,6181.642401104246,0.000999001,0.0010447068979927137,True
132,Putrescine,328064.1860968071,100.10738658392863,0.0,0.0,314245.4318897774,0.000999001,0.0010447068979927137,True
133,Pyruvate,231591.6035166769,70.6691896444759,0.0,0.0,744822.7830884114,0.000999001,0.0010447068979927137,True
134,Serotonin,206040.24374329203,18.183588790276193,3.481232339611484e-74,3.841359823019569e-74,6462.048944072347,0.000999001,0.0010447068979927137,True
135,Sodium,6689177.788002552,136.83072386058458,0.0,0.0,95430345.53192055,0.000999001,0.0010447068979927137,True
136,Sodium_D-Glucose cotransport,16893.62392658324,5.1550172584914,1.2680378528861273e-07,1.3260526566129434e-07,292.14913693463814,0.000999001,0.0010447068979927137,True
137,Sodium_calcium_potassium exchange,253615.07277128752,32.83600923341089,9.02073877117793e-237,1.0535169367799042e-236,703769.6327299686,0.000999001,0.0010447068979927137,True
138,Sodium_hydrogen exchange,174164.95390082817,24.936993394260423,1.477638748706763e-137,1.6533020964551192e-137,1775520.1583575287,0.000999001,0.0010447068979927137,True
139,Spermine,339542.58324796445,49.37087969130085,0.0,0.0,373005.2269252924,0.000999001,0.0010447068979927137,True
140,Sulfolithocholic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
141,Taurocholic acid,6837017.053978604,124.14108473443993,0.0,0.0,56849005.2324504,0.000999001,0.0010447068979927137,True
142,Testosterone,2701753.967725121,121.47822305497296,0.0,0.0,602278.0716216324,0.000999001,0.0010447068979927137,True
143,Thiamine,121951.56526098849,37.212999789298834,2.1028404053571117e-303,2.4922552952380583e-303,191037.90189597086,0.000999001,0.0010447068979927137,True
144,Thymidine,550098.3212361983,76.94310957882902,0.0,0.0,1780102.9873105187,0.000999001,0.0010447068979927137,True
145,Thyroxine,93542.72940389486,12.504473572530738,3.5282868120263225e-36,3.840312176355181e-36,281.60022183470267,0.000999001,0.0010447068979927137,True
146,Trihydroxycoprostanoic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
148,Urea,1596217.5897540501,219.2306046780915,0.0,0.0,674771.9937205804,0.000999001,0.0010447068979927137,True
149,Uridine,476694.8421666793,145.46139709764878,0.0,0.0,1626794.8879518933,0.000999001,0.0010447068979927137,True
150,Ursocholic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
151,Ursodeoxycholic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
152,Ursodeoxycholic acid 3-sulfate,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
