gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,PROS1,AXL,PROS1$AXL,Cytotoxic CD4,-7.822308e-10,8.005839e-09,377
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,Cytotoxic CD4,4.808268e-06,2.848956e-06,377
CD3E,BAG6,NCR3,BAG6$NCR3,Cytotoxic CD4,-1.7258795e-06,1.0428079e-05,377
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,Cytotoxic CD4,4.0765858e-07,2.285077e-05,377
CD3E,LGALS9,CD44,LGALS9$CD44,Cytotoxic CD4,0.0002479875,0.00020569046,377
CD3E,LAMB3,CD44,LAMB3$CD44,Cytotoxic CD4,2.2966418e-08,1.4236704e-07,377
CD3E,CD40LG,CD40,CD40LG$CD40,Cytotoxic CD4,4.1552576e-06,2.2800916e-06,377
CD3E,CD99,CD99,CD99$CD99,Cytotoxic CD4,1.4817955e-07,9.4906966e-07,377
CD3E,CDH1,CDH1,CDH1$CDH1,Cytotoxic CD4,2.2611061e-08,1.3846633e-07,377
CD3E,CDH1,ITGAE,CDH1$ITGAE,Cytotoxic CD4,5.076212e-08,3.2294355e-07,377
CD3E,ICAM1,ITGB2,ICAM1$ITGB2,Cytotoxic CD4,-7.651125e-09,1.0517328e-07,377
CD3E,ICAM1,ITGAL,ICAM1$ITGAL,Cytotoxic CD4,7.617715e-08,4.7076497e-07,377
CD3E,ITGB2,ICAM1,ITGB2$ICAM1,Cytotoxic CD4,-8.741727e-08,1.2025922e-06,377
CD3E,F11R,ITGAL,F11R$ITGAL,Cytotoxic CD4,2.8437464e-07,1.750235e-06,377
CD3E,F11R,F11R,F11R$F11R,Cytotoxic CD4,-1.3398212e-08,8.3147626e-08,377
CD3E,LCK,CD8A,LCK$CD8A,Cytotoxic CD4,1.9980575e-06,1.2221195e-05,377
CD3E,PECAM1,PECAM1,PECAM1$PECAM1,Cytotoxic CD4,-1.6460477e-09,1.0035524e-08,377
CD3E,THY1,ITGB2,THY1$ITGB2,Cytotoxic CD4,6.02781e-08,8.3191196e-07,377
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Cytotoxic CD8,2.3673852e-07,5.7008446e-08,11464
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,Cytotoxic CD8,1.2522175e-05,5.1072475e-06,11464
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,Cytotoxic CD8,2.914418e-09,2.2517597e-07,11464
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,Cytotoxic CD8,2.4427463e-06,8.8549e-07,11464
CD3E,BMP2,BMPR2,BMP2$BMPR2,Cytotoxic CD8,-8.3744527e-07,1.573424e-07,11464
CD3E,BMP5,BMPR2,BMP5$BMPR2,Cytotoxic CD8,-2.978888e-07,1.18878106e-07,11464
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,Cytotoxic CD8,5.1563603e-07,1.9793804e-07,11464
CD3E,TGFA,EGFR,TGFA$EGFR,Cytotoxic CD8,-5.8143492e-08,3.362783e-08,11464
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Cytotoxic CD8,-9.841941e-07,3.087642e-07,11464
