sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_4,Progesterone,15,"ABCB1, ABCC1, SLC10A1, SLC22A1, SLC22A2",True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,Propionyl-L-Carnitine,1,SLC22A8,False,0.0208143507140678,0,0,,,,False
13473_HS4_UC-Slice_4,Prostaglandins,6,"SLC22A1, SLC22A2, SLCO1B1",False,0.1102173668814116,0,0,,,,False
13473_HS4_UC-Slice_4,Putrescine,1,SLC22A4,False,0.3704906221893099,0,0,,,,False
13473_HS4_UC-Slice_4,Pyruvate,1,SLC16A1,True,0.0028698573354631,1,1,Endothelial–Pericyte (2.0e-03),,Endothelial–Pericyte (2.0e-03),True
13473_HS4_UC-Slice_4,Serotonin,6,"SLC22A1, SLC22A2, SLC6A4",False,0.2630702632444876,0,0,,,,False
13473_HS4_UC-Slice_4,Sodium,78,"SLC10A1, SLC12A2, SLC1A5, SLC22A4, SLC22A5, SLC29A1, SLC5A1, SLC5A3, SLC5A5, SLC5A7, SLC6A2, SLC6A4",True,0.0028698573354631,2,3,IEC (self) (2.0e-03); Endothelial–Fibroblast (1.0e-02); IEC–T (4.4e-02),IEC (self) (2.0e-03),Endothelial–Fibroblast (1.0e-02); IEC–T (4.4e-02),True
13473_HS4_UC-Slice_4,Sodium_D-Glucose cotransport,1,SLC5A2,False,0.0208143507140678,0,0,,,,False
13473_HS4_UC-Slice_4,Sodium_calcium_potassium exchange,1,SLC24A1,False,0.5293617893238457,0,0,,,,False
13473_HS4_UC-Slice_4,Sodium_hydrogen exchange,3,"SLC9A1, SLC9A3",True,0.0028698573354631,2,2,IEC (self) (2.0e-03); MNP (self) (3.3e-02),IEC (self) (2.0e-03); MNP (self) (3.3e-02),,True
13473_HS4_UC-Slice_4,Spermine,3,"SLC22A1, SLC22A4",False,0.6377246763882221,0,0,,,,False
13473_HS4_UC-Slice_4,Sulfolithocholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Taurocholic acid,78,"ABCB1, ABCC1, ABCC2, ABCC3, ABCC4, ABCG2, SLC10A1, SLC16A1, SLC22A1, SLCO1B1, SLCO1B3, SLCO2B1",True,0.0028698573354631,13,6,Endothelial–Pericyte (2.0e-03); IEC (self) (2.0e-03); IEC–T (2.0e-03); Fibroblast–MNP (8.7e-03); Myofibroblast–Plasma (1.8e-02); Fibroblast (self) (3.6e-02),IEC (self) (2.0e-03); Fibroblast (self) (3.6e-02),Endothelial–Pericyte (2.0e-03); IEC–T (2.0e-03); Fibroblast–MNP (8.7e-03); Myofibroblast–Plasma (1.8e-02),True
13473_HS4_UC-Slice_4,Testosterone,15,"ABCB1, ABCG2, SLC10A1, SLC22A1, SLC22A4",True,0.0028698573354631,5,3,IEC (self) (2.0e-03); IEC–T (7.1e-03); Enteric_glia (self) (1.8e-02),IEC (self) (2.0e-03); Enteric_glia (self) (1.8e-02),IEC–T (7.1e-03),True
13473_HS4_UC-Slice_4,Thiamine,1,SLC19A1,False,0.164418909077843,0,0,,,,False
13473_HS4_UC-Slice_4,Thymidine,3,"SLC22A1, SLC29A1",False,0.9510489106178284,0,0,,,,False
13473_HS4_UC-Slice_4,Thyroxine,1,SLCO1B1,False,0.0591908077207895,0,0,,,,False
13473_HS4_UC-Slice_4,Trihydroxycoprostanoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Urate,1,SLC22A12,False,0.0146829910186487,0,0,,,,False
13473_HS4_UC-Slice_4,Urea,3,"SLC5A1, SLC5A5",False,0.8796935187783211,0,0,,,,False
13473_HS4_UC-Slice_4,Uridine,1,SLC29A1,False,0.8559901401018485,0,0,,,,False
13473_HS4_UC-Slice_4,Ursocholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Ursodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Ursodeoxycholic acid 3-sulfate,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Varanic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Vitamin C,1,SLC23A2,False,0.2861598631460889,0,0,,,,False
13473_HS4_UC-Slice_4,Vitamin D3,1,CD36,True,0.0028698573354631,1,3,Enteric_glia–Pericyte (1.6e-02); IEC (self) (2.6e-02); Fibroblast–T (4.0e-02),IEC (self) (2.6e-02),Enteric_glia–Pericyte (1.6e-02); Fibroblast–T (4.0e-02),True
13473_HS4_UC-Slice_4,Water,28,"AQP4, AQP5, AQP7, AQP8, AQP9, ATP7A, ATP7B",True,0.0028698573354631,4,2,IEC (self) (2.0e-03); Endothelial–Enteric_glia (2.0e-02),IEC (self) (2.0e-03),Endothelial–Enteric_glia (2.0e-02),True
13473_HS4_UC-Slice_4,Zinc,3,"SLC30A8, SLC39A8",True,0.0483190269418516,0,0,,,,False
13473_HS4_UC-Slice_4,alpha-Ketoisovaleric acid,1,SLC16A1,True,0.0028698573354631,1,1,Endothelial–Pericyte (2.0e-03),,Endothelial–Pericyte (2.0e-03),True
13473_HS4_UC-Slice_4,alpha-Tocopherol,3,"NPC1L1, SCARB1",True,0.0028698573354631,1,1,IEC (self) (2.0e-03),IEC (self) (2.0e-03),,True
