gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,Effector CD8 T cell,-0.00012793079,2.4301009e-05,4715
CD3E,ANGPTL4,ITGA5,ANGPTL4$ITGA5,Effector CD8 T cell,-2.1529609e-06,5.745388e-07,4715
CD3E,ANGPTL4,ITGAV,ANGPTL4$ITGAV,Effector CD8 T cell,-2.5555636e-07,9.193458e-08,4715
CD3E,ANGPTL4,ITGB3,ANGPTL4$ITGB3,Effector CD8 T cell,-1.4004536e-08,9.93752e-09,4715
CD3E,ANGPTL4,CDH5,ANGPTL4$CDH5,Effector CD8 T cell,0.0,0.0,4715
CD3E,ANGPTL4,CDH11,ANGPTL4$CDH11,Effector CD8 T cell,-0.00019926006,4.7139096e-05,4715
CD3E,ANGPTL4,SDC2,ANGPTL4$SDC2,Effector CD8 T cell,-3.7854636e-05,9.375111e-06,4715
CD3E,ANGPTL4,SDC3,ANGPTL4$SDC3,Effector CD8 T cell,-2.7765438e-07,1.5065436e-07,4715
CD3E,ANGPT2,ITGA5,ANGPT2$ITGA5,Effector CD8 T cell,-2.7587957e-08,1.3314216e-08,4715
CD3E,POSTN,ITGAV,POSTN$ITGAV,Effector CD8 T cell,-0.0028866185,0.00033009087,4715
CD3E,POSTN,ITGB3,POSTN$ITGB3,Effector CD8 T cell,-0.00042004394,0.000102539336,4715
CD3E,POSTN,ITGB5,POSTN$ITGB5,Effector CD8 T cell,-0.008731285,0.0005833112,4715
CD3E,C4A,C3AR1,C4A$C3AR1,Effector CD8 T cell,2.0239295e-09,1.2461012e-09,4715
CD3E,CTSG,F2R,CTSG$F2R,Effector CD8 T cell,4.814333e-09,1.5522165e-09,4715
CD3E,GZMA,F2R,GZMA$F2R,Effector CD8 T cell,1.6527596e-05,1.280668e-05,4715
CD3E,GZMA,F2RL1,GZMA$F2RL1,Effector CD8 T cell,-1.356967e-08,5.6757563e-09,4715
CD3E,GZMA,PARD3,GZMA$PARD3,Effector CD8 T cell,-2.1977673e-08,6.222292e-09,4715
CD3E,HGF,MET,HGF$MET,Effector CD8 T cell,2.2224706e-08,4.204076e-09,4715
CD3E,SEMA3A,NRP1,SEMA3A$NRP1,Effector CD8 T cell,-1.49507905e-05,1.1587862e-05,4715
CD3E,SEMA3C,NRP1,SEMA3C$NRP1,Effector CD8 T cell,-0.00084645464,0.00014645036,4715
CD3E,SEMA3C,NRP2,SEMA3C$NRP2,Effector CD8 T cell,-0.0003191348,9.782357e-05,4715
CD3E,ADM,CALCRL,ADM$CALCRL,Effector CD8 T cell,0.0,0.0,4715
CD3E,APELA,APLNR,APELA$APLNR,Effector CD8 T cell,0.0,0.0,4715
CD3E,GAS6,AXL,GAS6$AXL,Effector CD8 T cell,-0.00088772527,0.00014970863,4715
CD3E,GAS6,MERTK,GAS6$MERTK,Effector CD8 T cell,-2.0490656e-05,6.0847697e-06,4715
CD3E,GAS6,TYRO3,GAS6$TYRO3,Effector CD8 T cell,-4.8623474e-09,2.3747002e-09,4715
CD3E,GRN,SORT1,GRN$SORT1,Effector CD8 T cell,-1.801669e-05,9.626877e-06,4715
CD3E,PROS1,AXL,PROS1$AXL,Effector CD8 T cell,-0.0010768843,0.00018158562,4715
CD3E,PROS1,TYRO3,PROS1$TYRO3,Effector CD8 T cell,-1.4304204e-05,1.955002e-06,4715
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,Effector CD8 T cell,1.0518749e-07,1.0782388e-08,4715
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,Effector CD8 T cell,3.7252787e-05,1.2397716e-05,4715
CD3E,LGALS9,CD44,LGALS9$CD44,Effector CD8 T cell,0.0006147481,0.00013163734,4715
CD3E,COL4A1,ITGA1,COL4A1$ITGA1,Effector CD8 T cell,0.0,0.0,4715
CD3E,COL4A2,ITGA1,COL4A2$ITGA1,Effector CD8 T cell,0.0,0.0,4715
CD3E,LAMC1,ITGA3,LAMC1$ITGA3,Effector CD8 T cell,4.690538e-07,1.9392131e-07,4715
CD3E,THBS1,ITGA3,THBS1$ITGA3,Effector CD8 T cell,-4.7445162e-08,1.1091229e-08,4715
CD3E,THBS2,ITGA3,THBS2$ITGA3,Effector CD8 T cell,2.5923552e-07,7.534489e-08,4715
CD3E,COL4A1,ITGA3,COL4A1$ITGA3,Effector CD8 T cell,2.4415101e-08,1.6178413e-08,4715
CD3E,COL4A2,ITGA3,COL4A2$ITGA3,Effector CD8 T cell,0.0,0.0,4715
CD3E,TNC,ITGAV,TNC$ITGAV,Effector CD8 T cell,-2.8089912e-06,1.0235078e-06,4715
CD3E,TNC,ITGB3,TNC$ITGB3,Effector CD8 T cell,6.023239e-07,3.035522e-07,4715
CD3E,THBS1,ITGAV,THBS1$ITGAV,Effector CD8 T cell,-3.7244675e-08,1.7715116e-08,4715
CD3E,THBS2,ITGAV,THBS2$ITGAV,Effector CD8 T cell,-9.631318e-08,1.9568596e-08,4715
CD3E,COMP,ITGAV,COMP$ITGAV,Effector CD8 T cell,5.533609e-07,1.0986495e-07,4715
CD3E,LAMC1,ITGAV,LAMC1$ITGAV,Effector CD8 T cell,-3.5767908e-10,9.52282e-11,4715
CD3E,COL4A1,ITGAV,COL4A1$ITGAV,Effector CD8 T cell,-1.0896297e-06,1.7220351e-07,4715
CD3E,COL4A2,ITGAV,COL4A2$ITGAV,Effector CD8 T cell,-9.13438e-11,7.338358e-11,4715
CD3E,COL4A1,CD44,COL4A1$CD44,Effector CD8 T cell,-4.7678917e-05,3.207295e-05,4715
CD3E,COL4A2,CD44,COL4A2$CD44,Effector CD8 T cell,-3.9120346e-06,1.794767e-06,4715
CD3E,LAMC1,CD44,LAMC1$CD44,Effector CD8 T cell,-3.389716e-07,1.8078359e-07,4715
CD3E,COL4A1,SDC4,COL4A1$SDC4,Effector CD8 T cell,-3.11414e-08,8.728073e-09,4715
CD3E,TNC,SDC4,TNC$SDC4,Effector CD8 T cell,-7.063615e-08,2.0094248e-08,4715
CD3E,THBS1,SDC4,THBS1$SDC4,Effector CD8 T cell,9.447358e-08,3.8202472e-08,4715
CD3E,COMP,SDC4,COMP$SDC4,Effector CD8 T cell,-2.3531453e-07,5.4021253e-08,4715
CD3E,THBS1,CD47,THBS1$CD47,Effector CD8 T cell,-2.4754803e-05,9.7181755e-06,4715
CD3E,THBS2,CD47,THBS2$CD47,Effector CD8 T cell,-3.3480342e-06,7.61295e-07,4715
CD3E,COMP,CD47,COMP$CD47,Effector CD8 T cell,3.0089691e-07,7.620314e-08,4715
CD3E,HSPG2,DAG1,HSPG2$DAG1,Effector CD8 T cell,8.3580693e-07,2.8965403e-07,4715
CD3E,LAMC1,DAG1,LAMC1$DAG1,Effector CD8 T cell,-1.072904e-07,2.4129108e-08,4715
CD3E,CD34,SELP,CD34$SELP,Effector CD8 T cell,0.0,0.0,4715
CD3E,CD99,CD99,CD99$CD99,Effector CD8 T cell,-2.594077e-06,1.1389802e-06,4715
CD3E,CDH1,CDH1,CDH1$CDH1,Effector CD8 T cell,1.5817324e-06,3.457114e-07,4715
CD3E,CDH5,CDH5,CDH5$CDH5,Effector CD8 T cell,0.0,0.0,4715
CD3E,CSPG4,ITGA3,CSPG4$ITGA3,Effector CD8 T cell,8.3326387e-07,3.0212283e-07,4715
CD3E,ICAM1,ITGB2,ICAM1$ITGB2,Effector CD8 T cell,-5.8471162e-08,3.51603e-08,4715
CD3E,ICAM1,ITGAL,ICAM1$ITGAL,Effector CD8 T cell,1.5770232e-05,2.877874e-06,4715
CD3E,ITGB2,CD226,ITGB2$CD226,Effector CD8 T cell,-7.9952585e-08,1.5880369e-08,4715
CD3E,ITGB2,ICAM1,ITGB2$ICAM1,Effector CD8 T cell,-1.4557282e-06,3.144409e-07,4715
CD3E,L1CAM,ITGAV,L1CAM$ITGAV,Effector CD8 T cell,5.3719305e-07,3.3773495e-07,4715
CD3E,L1CAM,ITGB3,L1CAM$ITGB3,Effector CD8 T cell,1.0220387e-08,6.7222037e-09,4715
CD3E,L1CAM,ITGA4,L1CAM$ITGA4,Effector CD8 T cell,2.0539126e-06,6.7452595e-07,4715
CD3E,L1CAM,L1CAM,L1CAM$L1CAM,Effector CD8 T cell,-1.2778975e-06,2.729891e-07,4715
CD3E,LCK,CD8A,LCK$CD8A,Effector CD8 T cell,0.00029566846,0.00011069641,4715
CD3E,MPZL1,MPZL1,MPZL1$MPZL1,Effector CD8 T cell,-2.0226627e-08,3.9108907e-09,4715
CD3E,DLL3,NOTCH2,DLL3$NOTCH2,Effector CD8 T cell,3.0470585e-07,1.6393092e-07,4715
CD3E,JAG1,NOTCH3,JAG1$NOTCH3,Effector CD8 T cell,0.0,0.0,4715
CD3E,PECAM1,PECAM1,PECAM1$PECAM1,Effector CD8 T cell,0.0,0.0,4715
CD3E,SEMA4D,PLXNB2,SEMA4D$PLXNB2,Effector CD8 T cell,-1.3495173e-07,6.180229e-08,4715
CD3E,SEMA4C,PLXNB2,SEMA4C$PLXNB2,Effector CD8 T cell,-5.32567e-07,1.2072445e-07,4715
CD3E,THY1,ITGAM,THY1$ITGAM,Effector CD8 T cell,-1.10978135e-07,3.1976704e-08,4715
CD3E,THY1,ITGB2,THY1$ITGB2,Effector CD8 T cell,-0.00011850444,1.8228398e-05,4715
CD3E,THY1,ITGAV,THY1$ITGAV,Effector CD8 T cell,1.5500443e-07,4.34391e-08,4715
CD3E,TGFB1,TGFBR1,TGFB1$TGFBR1,Gamma delta T cell,1.03159834e-07,2.5099617e-08,2417
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Gamma delta T cell,-7.243e-07,3.0469423e-07,2417
