gene,metabolite,cell_type,mean,std,n
CD3E,ADP,Gamma delta T cell,5.137913e-07,9.6697164e-08,2417
CD3E,Folinic acid,Gamma delta T cell,1.5500017e-06,5.2009244e-07,2417
CD3E,Progesterone,Gamma delta T cell,2.3899012e-05,7.5272337e-06,2417
CD3E,17a-Ethynylestradiol,Gamma delta T cell,3.693398e-05,9.289713e-06,2417
CD3E,Water,Gamma delta T cell,1.2343419e-07,2.471755e-08,2417
CD3E,"3',4'-Dihydrodiol",Gamma delta T cell,3.4151315e-05,9.022386e-06,2417
CD3E,4-ene-Valproic acid,Gamma delta T cell,-4.7987203e-05,1.3003439e-05,2417
CD3E,O-Desmethylverapamil (D-702),Gamma delta T cell,6.165841e-05,4.7158905e-05,2417
CD3E,4'-Hydroxydiclofenac,Gamma delta T cell,7.201996e-05,1.9389676e-05,2417
CD3E,Fusidic Acid,Gamma delta T cell,-7.608444e-08,3.8681645e-08,2417
CD3E,Chloride,Gamma delta T cell,0.00032220205,7.095416e-05,2417
CD3E,Sodium_hydrogen exchange,Gamma delta T cell,-2.1931516e-08,6.8076416e-09,2417
CD3E,Neurotransmitter,Gamma delta T cell,-1.6442016e-05,4.5733173e-06,2417
CD3E,Anion exchange,Gamma delta T cell,-5.282523e-07,1.5099108e-07,2417
CD3E,Calcium release-activated calcium transport,Gamma delta T cell,2.8418167e-06,2.150614e-06,2417
CD3E,Amiloride-sensitive sodium transport,Gamma delta T cell,0.0,0.0,2417
CD3E,Vitamin C,Gamma delta T cell,-1.7110074e-06,3.6560962e-07,2417
CD3E,D-Glucose,ISG CD8 T cell,0.0007551209,0.00013566164,239
CD3E,D-Galactose|D-Mannose,ISG CD8 T cell,0.0008344951,0.00017266552,239
CD3E,Glucosamine,ISG CD8 T cell,5.684421e-08,3.7208387e-08,239
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,ISG CD8 T cell,0.0008369673,0.00018405035,239
CD3E,D-Xylose|D-Maltose,ISG CD8 T cell,0.0005354197,0.00012905241,239
CD3E,L-Glutamine,ISG CD8 T cell,-0.0018942229,0.00028155034,239
CD3E,L-Alanine|L-Asparagine|L-Threonine,ISG CD8 T cell,-3.025244e-05,1.087887e-05,239
CD3E,L-Cysteine,ISG CD8 T cell,-0.00021022222,5.7019668e-05,239
CD3E,L-Histidine|L-Tyrosine,ISG CD8 T cell,8.15741e-05,1.5691357e-05,239
CD3E,L-Serine,ISG CD8 T cell,-9.319021e-05,2.2180788e-05,239
CD3E,L-Methionine|L-Phenylalanine,ISG CD8 T cell,-6.751659e-05,1.7792292e-05,239
CD3E,L-Lactate,ISG CD8 T cell,-0.00033474684,8.513962e-05,239
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,ISG CD8 T cell,-1.766744e-05,8.018338e-06,239
CD3E,Nicotinate,ISG CD8 T cell,-0.002102707,0.0003066162,239
CD3E,L-Glutamate,ISG CD8 T cell,-0.00080592505,0.00015524955,239
CD3E,L-Aspartate|D-Aspartate,ISG CD8 T cell,2.0878392e-07,5.919739e-08,239
CD3E,L-Cystine,ISG CD8 T cell,-3.994573e-06,1.6614323e-06,239
