gene,tf,cell_type,mean,std,n
CD3E,BCL6,other,-0.23944156,0.7283787,103187
CD3E,BCL6B,other,-0.0709095,0.156657,103187
CD3E,CTCF,other,0.06554276,0.12696101,103187
CD3E,EHF,other,0.044745,0.10814571,103187
CD3E,ELK4,other,0.23166326,0.46392605,103187
CD3E,EP300,other,0.0105321305,0.11275965,103187
CD3E,ESRRA,other,-0.037200958,0.13817598,103187
CD3E,ETV5,other,-0.14382344,0.28680557,103187
CD3E,FLI1,other,0.4479052,0.7561433,103187
CD3E,FOXA1,other,0.04332895,0.12327691,103187
CD3E,FOXD2,other,0.013895974,0.06843174,103187
CD3E,FOXI1,other,-0.0133140255,0.0470233,103187
CD3E,FOXJ2,other,0.035212185,0.12187209,103187
CD3E,FOXL2,other,0.018741107,0.061318785,103187
CD3E,FOXO1,other,0.022892158,0.10672202,103187
CD3E,FOXO3,other,-0.09643141,0.124762975,103187
CD3E,FOXO4,other,0.330459,0.90724295,103187
CD3E,GATA1,other,-0.030548872,0.07158621,103187
CD3E,GATA2,other,-0.11684244,0.30805343,103187
CD3E,GATA3,other,0.4019868,0.7390674,103187
CD3E,HOXA5,other,-0.06621556,0.18261385,103187
CD3E,HOXB4,other,-0.09211542,0.14334662,103187
CD3E,HOXB6,other,0.04544903,0.15836403,103187
CD3E,HOXB7,other,0.0046943557,0.021041911,103187
CD3E,HOXB9,other,0.0099687,0.05069711,103187
CD3E,IRX1,other,-0.21716031,0.52600694,103187
CD3E,MECOM,other,0.052975874,0.14663854,103187
CD3E,MEF2A,other,-0.14141923,0.41151807,103187
CD3E,MYEF2,other,-0.016957983,0.10876408,103187
CD3E,NR3C1,other,-0.07060438,0.24027437,103187
CD3E,PDX1,other,0.051786672,0.1094114,103187
CD3E,PITX1,other,0.021019582,0.047948778,103187
CD3E,POU1F1,other,-0.03492299,0.115487605,103187
CD3E,POU2F1,other,-0.058087777,0.07405014,103187
CD3E,PPARGC1A,other,-0.088637754,0.1438141,103187
CD3E,RUNX1,other,0.011136735,0.10878359,103187
CD3E,SIN3A,other,0.15297104,0.42484653,103187
CD3E,SMAD4,other,-0.10440505,0.21235013,103187
CD3E,STAT1,other,0.029772105,0.09412881,103187
CD3E,STAT3,other,-0.09370602,0.27749822,103187
CD3E,STAT5A,other,0.07886418,0.15358782,103187
CD3E,STAT5B,other,0.24367686,0.63753456,103187
CD3E,TCF7L2,other,-0.22610652,0.54729736,103187
CD3E,THRA,other,0.08092428,0.29646754,103187
CD3E,THRB,other,-0.11822489,0.27146563,103187
CD3E,ZBTB1,other,0.29122895,0.78273296,103187
CD3G,ATOH8,Effector CD8 T cell,-0.013272432,0.00082569366,4715
CD3G,BCL11A,Effector CD8 T cell,-0.36284718,0.023531841,4715
CD3G,BCL11B,Effector CD8 T cell,0.5167936,0.0316359,4715
CD3G,CTCF,Effector CD8 T cell,0.10656679,0.0059874733,4715
CD3G,CTCFL,Effector CD8 T cell,-0.020887353,0.0021662416,4715
CD3G,E2F3,Effector CD8 T cell,0.37903798,0.075049296,4715
CD3G,E2F4,Effector CD8 T cell,0.16672175,0.026631242,4715
CD3G,EBF1,Effector CD8 T cell,-0.17842321,0.012049733,4715
CD3G,EP300,Effector CD8 T cell,0.022955073,0.0016467017,4715
CD3G,ETS1,Effector CD8 T cell,0.40669954,0.02555829,4715
CD3G,FOXA1,Effector CD8 T cell,0.0868888,0.0050108666,4715
CD3G,HNF4A,Effector CD8 T cell,0.09707941,0.006303147,4715
CD3G,IRF1,Effector CD8 T cell,0.045479823,0.00232687,4715
CD3G,IRF3,Effector CD8 T cell,-4.175283e-05,0.0014577197,4715
CD3G,IRF4,Effector CD8 T cell,-0.059065305,0.04730694,4715
CD3G,IRF8,Effector CD8 T cell,-0.1951196,0.06652419,4715
CD3G,LMO2,Effector CD8 T cell,-0.14537188,0.040656354,4715
CD3G,MAFF,Effector CD8 T cell,-0.28897327,0.05199847,4715
CD3G,MAX,Effector CD8 T cell,0.009116979,0.00052130676,4715
CD3G,MYC,Effector CD8 T cell,-0.2343639,0.01748542,4715
CD3G,NHLH2,Effector CD8 T cell,-0.004271717,0.00076578493,4715
CD3G,NR3C1,Effector CD8 T cell,-0.101219915,0.014806091,4715
CD3G,NR4A1,Effector CD8 T cell,0.042555414,0.0067182505,4715
CD3G,NR4A3,Effector CD8 T cell,0.044188198,0.02267279,4715
CD3G,PAX5,Effector CD8 T cell,-0.10093452,0.006559602,4715
CD3G,PAX6,Effector CD8 T cell,-0.011679438,0.0007249489,4715
CD3G,REL,Effector CD8 T cell,0.13945502,0.007718291,4715
CD3G,RELA,Effector CD8 T cell,0.003966448,0.0042853793,4715
CD3G,RFX5,Effector CD8 T cell,0.09805507,0.044663828,4715
CD3G,RXRA,Effector CD8 T cell,0.37510717,0.090489745,4715
CD3G,SMAD4,Effector CD8 T cell,-0.043375775,0.014238491,4715
CD3G,SMC3,Effector CD8 T cell,0.06950812,0.004480516,4715
CD3G,SP1,Effector CD8 T cell,0.16775309,0.010894456,4715
CD3G,SREBF1,Effector CD8 T cell,-0.15051264,0.038951397,4715
CD3G,STAT1,Effector CD8 T cell,-0.011004023,0.0038185762,4715
CD3G,STAT2,Effector CD8 T cell,-0.124039784,0.026853636,4715
CD3G,STAT3,Effector CD8 T cell,0.02804747,0.020906119,4715
CD3G,TCF4,Effector CD8 T cell,-0.11748678,0.016705373,4715
CD3G,WT1,Effector CD8 T cell,-0.07920224,0.0049363463,4715
CD3G,ZEB1,Effector CD8 T cell,0.2885751,0.039709188,4715
CD3G,ZIC2,Effector CD8 T cell,-0.03177351,0.0017492039,4715
CD3G,ZNF76,Effector CD8 T cell,0.20937708,0.013487595,4715
CD3G,ATOH8,Gamma delta T cell,-0.013150468,0.0015476418,2417
CD3G,BCL11A,Gamma delta T cell,-0.3598396,0.040527865,2417
CD3G,BCL11B,Gamma delta T cell,0.51223993,0.052327126,2417
CD3G,CTCF,Gamma delta T cell,0.10585542,0.009915141,2417
CD3G,CTCFL,Gamma delta T cell,-0.020706631,0.0030382902,2417
CD3G,E2F3,Gamma delta T cell,0.37622094,0.084342025,2417
CD3G,E2F4,Gamma delta T cell,0.16384472,0.032304857,2417
CD3G,EBF1,Gamma delta T cell,-0.17689116,0.020568231,2417
CD3G,EP300,Gamma delta T cell,0.022749601,0.0028076533,2417
CD3G,ETS1,Gamma delta T cell,0.40368867,0.03966897,2417
CD3G,FOXA1,Gamma delta T cell,0.08608778,0.010202496,2417
CD3G,HNF4A,Gamma delta T cell,0.09627496,0.010847846,2417
CD3G,IRF1,Gamma delta T cell,0.04515211,0.0039597033,2417
CD3G,IRF3,Gamma delta T cell,-0.00027776803,0.003805023,2417
CD3G,IRF4,Gamma delta T cell,-0.06118477,0.04719293,2417
CD3G,IRF8,Gamma delta T cell,-0.19315407,0.06913409,2417
CD3G,LMO2,Gamma delta T cell,-0.14161126,0.044262677,2417
CD3G,MAFF,Gamma delta T cell,-0.28736898,0.05701853,2417
CD3G,MAX,Gamma delta T cell,0.009041616,0.0010192053,2417
CD3G,MYC,Gamma delta T cell,-0.23211136,0.02557375,2417
CD3G,NHLH2,Gamma delta T cell,-0.0041961297,0.0007932912,2417
CD3G,NR3C1,Gamma delta T cell,-0.09977869,0.01769796,2417
CD3G,NR4A1,Gamma delta T cell,0.042137362,0.009143586,2417
CD3G,NR4A3,Gamma delta T cell,0.04426197,0.022933565,2417
CD3G,PAX5,Gamma delta T cell,-0.09998524,0.012271062,2417
CD3G,PAX6,Gamma delta T cell,-0.011574497,0.001472824,2417
CD3G,REL,Gamma delta T cell,0.1382904,0.014873093,2417
CD3G,RELA,Gamma delta T cell,0.0042846147,0.0053108786,2417
CD3G,RFX5,Gamma delta T cell,0.09826162,0.043729667,2417
CD3G,RXRA,Gamma delta T cell,0.36803183,0.102491535,2417
CD3G,SMAD4,Gamma delta T cell,-0.042716112,0.015087496,2417
CD3G,SMC3,Gamma delta T cell,0.068943486,0.0076254085,2417
CD3G,SP1,Gamma delta T cell,0.16614129,0.018583126,2417
CD3G,SREBF1,Gamma delta T cell,-0.14745243,0.043719474,2417
CD3G,STAT1,Gamma delta T cell,-0.010880117,0.004019408,2417
CD3G,STAT2,Gamma delta T cell,-0.12100572,0.02958868,2417
CD3G,STAT3,Gamma delta T cell,0.027997207,0.02090111,2417
CD3G,TCF4,Gamma delta T cell,-0.116810896,0.020319367,2417
CD3G,WT1,Gamma delta T cell,-0.07855579,0.0086303335,2417
CD3G,ZEB1,Gamma delta T cell,0.28549516,0.047642197,2417
CD3G,ZIC2,Gamma delta T cell,-0.031512566,0.0033938652,2417
CD3G,ZNF76,Gamma delta T cell,0.20751107,0.023422834,2417
CD3G,ATOH8,ISG CD8 T cell,-0.013080199,0.0019041251,239
CD3G,BCL11A,ISG CD8 T cell,-0.358141,0.04742943,239
CD3G,BCL11B,ISG CD8 T cell,0.5101082,0.060501974,239
CD3G,CTCF,ISG CD8 T cell,0.10552658,0.011263949,239
CD3G,CTCFL,ISG CD8 T cell,-0.020637332,0.0032450277,239
CD3G,E2F3,ISG CD8 T cell,0.37183455,0.090428196,239
CD3G,E2F4,ISG CD8 T cell,0.16433765,0.03474939,239
CD3G,EBF1,ISG CD8 T cell,-0.176095,0.023878418,239
CD3G,EP300,ISG CD8 T cell,0.02262433,0.0033769105,239
CD3G,ETS1,ISG CD8 T cell,0.40150264,0.0438078,239
CD3G,FOXA1,ISG CD8 T cell,0.08555071,0.012794918,239
CD3G,HNF4A,ISG CD8 T cell,0.09581981,0.012699416,239
CD3G,IRF1,ISG CD8 T cell,0.0450382,0.0044490774,239
CD3G,IRF3,ISG CD8 T cell,-0.00061770115,0.0056164283,239
CD3G,IRF4,ISG CD8 T cell,-0.06496595,0.04689206,239
CD3G,IRF8,ISG CD8 T cell,-0.19086918,0.0707415,239
CD3G,LMO2,ISG CD8 T cell,-0.13778988,0.048792124,239
CD3G,MAFF,ISG CD8 T cell,-0.28713912,0.057626482,239
CD3G,MAX,ISG CD8 T cell,0.009013303,0.0010565701,239
CD3G,MYC,ISG CD8 T cell,-0.23040847,0.029727675,239
CD3G,NHLH2,ISG CD8 T cell,-0.004160371,0.000718428,239
CD3G,NR3C1,ISG CD8 T cell,-0.10063314,0.015812568,239
CD3G,NR4A1,ISG CD8 T cell,0.041238993,0.0122604435,239
CD3G,NR4A3,ISG CD8 T cell,0.046619553,0.022016894,239
CD3G,PAX5,ISG CD8 T cell,-0.09939298,0.014984113,239
CD3G,PAX6,ISG CD8 T cell,-0.01155684,0.0012855422,239
CD3G,REL,ISG CD8 T cell,0.13757168,0.018095696,239
CD3G,RELA,ISG CD8 T cell,0.0044763465,0.0070582484,239
CD3G,RFX5,ISG CD8 T cell,0.09574766,0.047105215,239
CD3G,RXRA,ISG CD8 T cell,0.37005222,0.098731704,239
CD3G,SMAD4,ISG CD8 T cell,-0.04183047,0.016725725,239
CD3G,SMC3,ISG CD8 T cell,0.06863718,0.0089933295,239
CD3G,SP1,ISG CD8 T cell,0.16581365,0.02177358,239
