gene,tf,cell_type,mean,std,n
CD3E,IRX1,ISG CD8 T cell,-1.5613384,0.24593356,239
CD3E,MECOM,ISG CD8 T cell,0.44777992,0.060765162,239
CD3E,MEF2A,ISG CD8 T cell,-1.2719483,0.17565963,239
CD3E,MYEF2,ISG CD8 T cell,-0.19225265,0.16853529,239
CD3E,NR3C1,ISG CD8 T cell,-0.57645273,0.20238717,239
CD3E,PDX1,ISG CD8 T cell,0.33988866,0.044103548,239
CD3E,PITX1,ISG CD8 T cell,0.10243199,0.010633377,239
CD3E,POU1F1,ISG CD8 T cell,-0.34643763,0.04528948,239
CD3E,POU2F1,ISG CD8 T cell,-0.14394142,0.10542717,239
CD3E,PPARGC1A,ISG CD8 T cell,-0.4574845,0.050322156,239
CD3E,RUNX1,ISG CD8 T cell,7.825604e-05,0.007829708,239
CD3E,SIN3A,ISG CD8 T cell,1.2992141,0.16966134,239
CD3E,SMAD4,ISG CD8 T cell,-0.5840061,0.07020417,239
CD3E,STAT1,ISG CD8 T cell,-0.13084856,0.027250294,239
CD3E,STAT3,ISG CD8 T cell,-0.83046305,0.120153636,239
CD3E,STAT5A,ISG CD8 T cell,0.43427238,0.050701175,239
CD3E,STAT5B,ISG CD8 T cell,1.9133011,0.26764882,239
CD3E,TCF7L2,ISG CD8 T cell,-1.7016116,0.24047706,239
CD3E,THRA,ISG CD8 T cell,0.7127454,0.36756065,239
CD3E,THRB,ISG CD8 T cell,-0.8581838,0.12724555,239
CD3E,ZBTB1,ISG CD8 T cell,2.4162433,0.3177601,239
CD3E,ARID3B,Proliferating CD8 T cell,0.3809907,0.041169643,1993
CD3E,BCL6,Proliferating CD8 T cell,-2.2050393,0.2618464,1993
CD3E,BCL6B,Proliferating CD8 T cell,-0.48589936,0.055387177,1993
CD3E,CTCF,Proliferating CD8 T cell,0.20452169,0.024379998,1993
CD3E,EHF,Proliferating CD8 T cell,0.030824611,0.004020958,1993
