gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TNC,ITGAV,TNC$ITGAV,Effector CD8 T cell,-9.304866e-07,7.8807534e-07,4715
CD3E,TNC,ITGB3,TNC$ITGB3,Effector CD8 T cell,5.473781e-07,4.3190568e-07,4715
CD3E,THBS1,ITGAV,THBS1$ITGAV,Effector CD8 T cell,-3.701117e-08,3.1055084e-08,4715
CD3E,THBS2,ITGAV,THBS2$ITGAV,Effector CD8 T cell,-1.5109457e-07,2.6005706e-08,4715
CD3E,COMP,ITGAV,COMP$ITGAV,Effector CD8 T cell,6.530736e-07,1.0780305e-07,4715
CD3E,COL4A1,ITGAV,COL4A1$ITGAV,Effector CD8 T cell,-3.3335192e-07,2.6807473e-07,4715
CD3E,COL4A2,ITGAV,COL4A2$ITGAV,Effector CD8 T cell,-2.3841357e-10,5.4427438e-11,4715
CD3E,COL4A1,CD44,COL4A1$CD44,Effector CD8 T cell,-6.753397e-05,1.5458196e-05,4715
CD3E,COL4A2,CD44,COL4A2$CD44,Effector CD8 T cell,-6.7225405e-06,3.973687e-06,4715
CD3E,LAMC1,CD44,LAMC1$CD44,Effector CD8 T cell,-1.841344e-07,1.8622198e-07,4715
CD3E,COL4A1,SDC4,COL4A1$SDC4,Effector CD8 T cell,-1.7609693e-08,1.8071956e-08,4715
CD3E,TNC,SDC4,TNC$SDC4,Effector CD8 T cell,-1.318477e-07,3.5976676e-08,4715
CD3E,THBS1,SDC4,THBS1$SDC4,Effector CD8 T cell,1.2068962e-07,2.6130808e-08,4715
CD3E,COMP,SDC4,COMP$SDC4,Effector CD8 T cell,-7.101234e-08,7.226632e-08,4715
CD3E,THBS1,CD47,THBS1$CD47,Effector CD8 T cell,-3.609826e-05,1.0949505e-05,4715
CD3E,THBS2,CD47,THBS2$CD47,Effector CD8 T cell,-5.268204e-06,9.990139e-07,4715
CD3E,COMP,CD47,COMP$CD47,Effector CD8 T cell,3.2874547e-07,6.777541e-08,4715
CD3E,HSPG2,DAG1,HSPG2$DAG1,Effector CD8 T cell,1.0632447e-06,2.6022911e-07,4715
CD3E,LAMC1,DAG1,LAMC1$DAG1,Effector CD8 T cell,-8.766025e-08,2.6307712e-08,4715
CD3E,CD34,SELP,CD34$SELP,Effector CD8 T cell,0.0,0.0,4715
CD3E,CD99,CD99,CD99$CD99,Effector CD8 T cell,-2.393997e-06,1.3369505e-06,4715
CD3E,CDH1,CDH1,CDH1$CDH1,Effector CD8 T cell,1.1070405e-06,3.8712687e-07,4715
CD3E,CDH5,CDH5,CDH5$CDH5,Effector CD8 T cell,0.0,0.0,4715
CD3E,CSPG4,ITGA3,CSPG4$ITGA3,Effector CD8 T cell,1.3342177e-06,1.8697857e-07,4715
CD3E,ICAM1,ITGB2,ICAM1$ITGB2,Effector CD8 T cell,-1.5423527e-07,3.4322042e-08,4715
CD3E,ICAM1,ITGAL,ICAM1$ITGAL,Effector CD8 T cell,5.6831777e-06,4.1059798e-06,4715
CD3E,ITGB2,CD226,ITGB2$CD226,Effector CD8 T cell,-4.6058457e-08,1.8791043e-08,4715
CD3E,ITGB2,ICAM1,ITGB2$ICAM1,Effector CD8 T cell,-7.178323e-07,7.026602e-07,4715
CD3E,L1CAM,ITGAV,L1CAM$ITGAV,Effector CD8 T cell,1.2028496e-06,2.2249371e-07,4715
CD3E,L1CAM,ITGB3,L1CAM$ITGB3,Effector CD8 T cell,4.2244622e-08,9.7971675e-09,4715
CD3E,L1CAM,ITGA4,L1CAM$ITGA4,Effector CD8 T cell,4.8904953e-06,9.798789e-07,4715
CD3E,L1CAM,L1CAM,L1CAM$L1CAM,Effector CD8 T cell,-1.2749913e-06,2.8205795e-07,4715
CD3E,LCK,CD8A,LCK$CD8A,Effector CD8 T cell,0.00016822676,9.0289635e-05,4715
CD3E,MPZL1,MPZL1,MPZL1$MPZL1,Effector CD8 T cell,-1.5442334e-08,8.443077e-09,4715
CD3E,DLL3,NOTCH2,DLL3$NOTCH2,Effector CD8 T cell,8.52011e-07,1.5169711e-07,4715
CD3E,JAG1,NOTCH3,JAG1$NOTCH3,Effector CD8 T cell,0.0,0.0,4715
CD3E,PECAM1,PECAM1,PECAM1$PECAM1,Effector CD8 T cell,0.0,0.0,4715
CD3E,SEMA4D,PLXNB2,SEMA4D$PLXNB2,Effector CD8 T cell,-2.4006113e-07,9.4898176e-08,4715
CD3E,SEMA4C,PLXNB2,SEMA4C$PLXNB2,Effector CD8 T cell,-4.4006646e-07,8.203525e-08,4715
CD3E,THY1,ITGAM,THY1$ITGAM,Effector CD8 T cell,-8.935884e-08,5.4981214e-08,4715
CD3E,THY1,ITGB2,THY1$ITGB2,Effector CD8 T cell,-0.00016092099,4.7346377e-05,4715
CD3E,THY1,ITGAV,THY1$ITGAV,Effector CD8 T cell,6.069336e-08,3.329515e-08,4715
CD3E,TGFB1,TGFBR1,TGFB1$TGFBR1,Gamma delta T cell,9.199709e-08,3.762966e-08,2417
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Gamma delta T cell,-4.888142e-07,3.2873433e-07,2417
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,Gamma delta T cell,0.0,0.0,2417
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,Gamma delta T cell,-4.6175388e-05,4.415714e-05,2417
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,Gamma delta T cell,-4.8957936e-05,1.3147782e-05,2417
