gene,metabolite,cell_type,mean,std,n
HAVCR2,alpha-Tocopherol,Gamma delta T cell,2.9413042e-07,3.931824e-06,2417
HAVCR2,25-Hydroxycholesterol,ISG CD8 T cell,0.00015825448,0.0014068116,239
HAVCR2,Acetate,ISG CD8 T cell,5.7638394e-05,0.00051232614,239
HAVCR2,Adenine,ISG CD8 T cell,1.3111144e-06,1.2702549e-05,239
HAVCR2,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,ISG CD8 T cell,6.7363594e-06,6.0915438e-05,239
HAVCR2,Adenosine diphosphate ribose,ISG CD8 T cell,-3.177179e-07,3.1228285e-06,239
HAVCR2,Adenosine triphosphate,ISG CD8 T cell,2.3931749e-05,0.00021295095,239
HAVCR2,Cadmium|Manganese,ISG CD8 T cell,3.0678446e-08,2.8172903e-07,239
HAVCR2,Chloride,ISG CD8 T cell,4.8943066e-06,4.6224122e-05,239
HAVCR2,Cholesterol,ISG CD8 T cell,0.00010895897,0.0009696591,239
HAVCR2,Citric acid|Oxalic acid,ISG CD8 T cell,2.9014984e-05,0.00025805665,239
HAVCR2,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,ISG CD8 T cell,0.00024004174,0.0021339254,239
HAVCR2,D-Glucose,ISG CD8 T cell,0.000244877,0.00217709,239
HAVCR2,D-Maltose|D-Xylose,ISG CD8 T cell,0.00010134981,0.0009008956,239
HAVCR2,Estradiol,ISG CD8 T cell,2.9009072e-05,0.00025785438,239
HAVCR2,Ethanol,ISG CD8 T cell,1.1550904e-05,0.00010298158,239
HAVCR2,Fatty acid,ISG CD8 T cell,0.0008861095,0.007875774,239
HAVCR2,Folic acid,ISG CD8 T cell,-4.1315806e-07,3.9174884e-06,239
HAVCR2,Glutathione,ISG CD8 T cell,1.5370897e-07,1.3776439e-06,239
HAVCR2,Heme,ISG CD8 T cell,1.1499739e-05,0.00010361312,239
HAVCR2,Iron,ISG CD8 T cell,2.495034e-06,2.2206194e-05,239
HAVCR2,L-Arginine|L-Histidine|L-Tyrosine,ISG CD8 T cell,1.9922334e-06,1.7981749e-05,239
HAVCR2,L-Cystine,ISG CD8 T cell,2.440616e-06,2.2273427e-05,239
HAVCR2,L-Lactate,ISG CD8 T cell,2.354107e-06,2.341422e-05,239
HAVCR2,L-Methionine|L-Phenylalanine,ISG CD8 T cell,8.246473e-07,7.504173e-06,239
HAVCR2,Neurotransmitter,ISG CD8 T cell,1.9004801e-06,1.6932127e-05,239
HAVCR2,Nicotinate,ISG CD8 T cell,3.628838e-05,0.00032297985,239
HAVCR2,Sodium,ISG CD8 T cell,3.907593e-05,0.00034758428,239
HAVCR2,Taurocholic acid,ISG CD8 T cell,6.369642e-05,0.0005661498,239
HAVCR2,Vitamin D3,ISG CD8 T cell,0.000102479426,0.00091227016,239
HAVCR2,Zinc,ISG CD8 T cell,4.2450175e-08,3.9750148e-07,239
HAVCR2,alpha-Tocopherol,ISG CD8 T cell,5.3498627e-07,5.0918284e-06,239
HAVCR2,25-Hydroxycholesterol,Proliferating CD8 T cell,6.520741e-06,0.00029110562,1993
HAVCR2,Acetate,Proliferating CD8 T cell,2.3487523e-06,0.00010485542,1993
HAVCR2,Adenine,Proliferating CD8 T cell,4.8864486e-08,2.1814585e-06,1993
HAVCR2,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,Proliferating CD8 T cell,2.7471336e-07,1.2264036e-05,1993
HAVCR2,Adenosine diphosphate ribose,Proliferating CD8 T cell,-7.452057e-09,3.326824e-07,1993
HAVCR2,Adenosine triphosphate,Proliferating CD8 T cell,1.0552816e-06,4.7110967e-05,1993
HAVCR2,Cadmium|Manganese,Proliferating CD8 T cell,8.1574164e-10,3.6417177e-08,1993
HAVCR2,Chloride,Proliferating CD8 T cell,2.4793033e-07,1.106836e-05,1993
HAVCR2,Cholesterol,Proliferating CD8 T cell,4.3799614e-06,0.00019553474,1993
