gene,ligand,receptor,pair,cell_type,mean,std,n
ATP1A1,PDGFA,PDGFRB,PDGFA$PDGFRB,Enteric_glia,0.0,0.0,91
ATP1A1,IGF1,ITGA6,IGF1$ITGA6,Enteric_glia,0.0,0.0,91
ATP1A1,IGF1,ITGB4,IGF1$ITGB4,Enteric_glia,0.0,0.0,91
ATP1A1,IHH,PTCH1,IHH$PTCH1,Enteric_glia,0.0,0.0,91
ATP1A1,CCL13,CCR1,CCL13$CCR1,Enteric_glia,0.0,0.0,91
ATP1A1,CCL15,CCR1,CCL15$CCR1,Enteric_glia,0.0,0.0,91
ATP1A1,CXCL12,ACKR3,CXCL12$ACKR3,Enteric_glia,0.0,0.0,91
ATP1A1,IL7,IL2RG,IL7$IL2RG,Enteric_glia,0.0,0.0,91
ATP1A1,IL13,IL13RA1,IL13$IL13RA1,Enteric_glia,0.0,0.0,91
ATP1A1,CSF1,CSF1R,CSF1$CSF1R,Enteric_glia,0.0,0.0,91
ATP1A1,IL16,CD4,IL16$CD4,Enteric_glia,0.0,0.0,91
ATP1A1,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Enteric_glia,0.0,0.0,91
ATP1A1,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Enteric_glia,0.0,0.0,91
ATP1A1,ANGPTL4,SDC4,ANGPTL4$SDC4,Enteric_glia,0.0,0.0,91
ATP1A1,POSTN,ITGAV,POSTN$ITGAV,Enteric_glia,0.0,0.0,91
ATP1A1,POSTN,ITGB3,POSTN$ITGB3,Enteric_glia,0.0,0.0,91
ATP1A1,POSTN,ITGB5,POSTN$ITGB5,Enteric_glia,0.0,0.0,91
ATP1A1,CTSG,F2RL1,CTSG$F2RL1,Enteric_glia,0.0,0.0,91
ATP1A1,PLG,F2RL1,PLG$F2RL1,Enteric_glia,0.0,0.0,91
ATP1A1,GZMA,F2RL1,GZMA$F2RL1,Enteric_glia,0.0,0.0,91
ATP1A1,VIP,VIPR1,VIP$VIPR1,Enteric_glia,0.0,0.0,91
ATP1A1,KITLG,KIT,KITLG$KIT,Enteric_glia,0.0,0.0,91
ATP1A1,SEMA3C,NRP1,SEMA3C$NRP1,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,AXL,GAS6$AXL,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,MERTK,GAS6$MERTK,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,TYRO3,GAS6$TYRO3,Enteric_glia,0.0,0.0,91
ATP1A1,GRN,SORT1,GRN$SORT1,Enteric_glia,0.0,0.0,91
ATP1A1,GUCA2A,GUCY2C,GUCA2A$GUCY2C,Enteric_glia,0.0,0.0,91
ATP1A1,PROS1,AXL,PROS1$AXL,Enteric_glia,0.0,0.0,91
ATP1A1,BTLA,TNFRSF14,BTLA$TNFRSF14,Enteric_glia,0.0,0.0,91
ATP1A1,LGALS9,HAVCR2,LGALS9$HAVCR2,Enteric_glia,0.0,0.0,91
ATP1A1,LGALS9,CD44,LGALS9$CD44,Enteric_glia,0.0,0.0,91
ATP1A1,LAMB3,ITGA3,LAMB3$ITGA3,Enteric_glia,0.0,0.0,91
ATP1A1,COL6A2,ITGA3,COL6A2$ITGA3,Enteric_glia,0.0,0.0,91
ATP1A1,LAMB3,ITGA6,LAMB3$ITGA6,Enteric_glia,0.0,0.0,91
ATP1A1,LAMA3,ITGB4,LAMA3$ITGB4,Enteric_glia,0.0,0.0,91
ATP1A1,LAMB3,ITGB4,LAMB3$ITGB4,Enteric_glia,0.0,0.0,91
ATP1A1,THBS1,SDC4,THBS1$SDC4,Enteric_glia,0.0,0.0,91
ATP1A1,CD99,CD99,CD99$CD99,Enteric_glia,0.0,0.0,91
ATP1A1,CDH1,CDH1,CDH1$CDH1,Enteric_glia,0.0,0.0,91
ATP1A1,CDH1,ITGA2,CDH1$ITGA2,Enteric_glia,0.0,0.0,91
ATP1A1,F11R,F11R,F11R$F11R,Enteric_glia,0.0,0.0,91
ATP1A1,HLA-DRA,CD4,HLA-DRA$CD4,Enteric_glia,0.0,0.0,91
ATP1A1,HLA-DRB1,CD4,HLA-DRB1$CD4,Enteric_glia,0.0,0.0,91
ATP1A1,MPZL1,MPZL1,MPZL1$MPZL1,Enteric_glia,0.0,0.0,91
ATP1A1,OCLN,OCLN,OCLN$OCLN,Enteric_glia,0.0,0.0,91
ATP1A1,TGFB2,ACVR1B,TGFB2$ACVR1B,Fibroblast,0.0,0.0,811
ATP1A1,BMP2,BMPR1A,BMP2$BMPR1A,Fibroblast,0.0,0.0,811
ATP1A1,BMP2,ACVR2A,BMP2$ACVR2A,Fibroblast,0.0,0.0,811
ATP1A1,BMP2,BMPR2,BMP2$BMPR2,Fibroblast,0.0,0.0,811
ATP1A1,BMP2,BMPR1B,BMP2$BMPR1B,Fibroblast,0.0,0.0,811
ATP1A1,BMP4,BMPR1A,BMP4$BMPR1A,Fibroblast,0.0,0.0,811
ATP1A1,BMP4,ACVR2A,BMP4$ACVR2A,Fibroblast,0.0,0.0,811
ATP1A1,BMP4,BMPR2,BMP4$BMPR2,Fibroblast,0.0,0.0,811
ATP1A1,BMP6,ACVR2A,BMP6$ACVR2A,Fibroblast,0.0,0.0,811
ATP1A1,BMP6,BMPR2,BMP6$BMPR2,Fibroblast,0.0,0.0,811
ATP1A1,BMP6,BMPR1A,BMP6$BMPR1A,Fibroblast,0.0,0.0,811
ATP1A1,GDF9,ACVR1B,GDF9$ACVR1B,Fibroblast,0.0,0.0,811
ATP1A1,GDF11,ACVR1B,GDF11$ACVR1B,Fibroblast,0.0,0.0,811
ATP1A1,MSTN,ACVR1B,MSTN$ACVR1B,Fibroblast,0.0,0.0,811
ATP1A1,EGF,EGFR,EGF$EGFR,Fibroblast,0.0,0.0,811
ATP1A1,EGF,ERBB2,EGF$ERBB2,Fibroblast,0.0,0.0,811
ATP1A1,TGFA,EGFR,TGFA$EGFR,Fibroblast,0.0,0.0,811
ATP1A1,TGFA,ERBB2,TGFA$ERBB2,Fibroblast,0.0,0.0,811
ATP1A1,FGF2,FGFR2,FGF2$FGFR2,Fibroblast,0.0,0.0,811
ATP1A1,FGF2,FGFR3,FGF2$FGFR3,Fibroblast,0.0,0.0,811
ATP1A1,FGF2,FGFR4,FGF2$FGFR4,Fibroblast,0.0,0.0,811
ATP1A1,FGF4,FGFR2,FGF4$FGFR2,Fibroblast,0.0,0.0,811
ATP1A1,FGF4,FGFR3,FGF4$FGFR3,Fibroblast,0.0,0.0,811
ATP1A1,FGF7,FGFR2,FGF7$FGFR2,Fibroblast,0.0,0.0,811
ATP1A1,FGF9,FGFR2,FGF9$FGFR2,Fibroblast,0.0,0.0,811
ATP1A1,FGF9,FGFR3,FGF9$FGFR3,Fibroblast,0.0,0.0,811
ATP1A1,PDGFA,PDGFRA,PDGFA$PDGFRA,Fibroblast,0.0,0.0,811
ATP1A1,PDGFA,PDGFRB,PDGFA$PDGFRB,Fibroblast,0.0,0.0,811
ATP1A1,IGF1,ITGA6,IGF1$ITGA6,Fibroblast,0.0,0.0,811
ATP1A1,IGF1,ITGB4,IGF1$ITGB4,Fibroblast,0.0,0.0,811
ATP1A1,IHH,PTCH1,IHH$PTCH1,Fibroblast,0.0,0.0,811
ATP1A1,CCL13,CCR1,CCL13$CCR1,Fibroblast,0.0,0.0,811
ATP1A1,CCL15,CCR1,CCL15$CCR1,Fibroblast,0.0,0.0,811
ATP1A1,CXCL12,ACKR3,CXCL12$ACKR3,Fibroblast,0.0,0.0,811
ATP1A1,IL7,IL2RG,IL7$IL2RG,Fibroblast,0.0,0.0,811
ATP1A1,IL13,IL13RA1,IL13$IL13RA1,Fibroblast,0.0,0.0,811
ATP1A1,CSF1,CSF1R,CSF1$CSF1R,Fibroblast,0.0,0.0,811
ATP1A1,IL16,CD4,IL16$CD4,Fibroblast,0.0,0.0,811
ATP1A1,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Fibroblast,0.0,0.0,811
ATP1A1,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Fibroblast,0.0,0.0,811
ATP1A1,ANGPTL4,SDC4,ANGPTL4$SDC4,Fibroblast,0.0,0.0,811
ATP1A1,POSTN,ITGAV,POSTN$ITGAV,Fibroblast,0.0,0.0,811
ATP1A1,POSTN,ITGB3,POSTN$ITGB3,Fibroblast,0.0,0.0,811
ATP1A1,POSTN,ITGB5,POSTN$ITGB5,Fibroblast,0.0,0.0,811
ATP1A1,CTSG,F2RL1,CTSG$F2RL1,Fibroblast,0.0,0.0,811
ATP1A1,PLG,F2RL1,PLG$F2RL1,Fibroblast,0.0,0.0,811
ATP1A1,GZMA,F2RL1,GZMA$F2RL1,Fibroblast,0.0,0.0,811
ATP1A1,VIP,VIPR1,VIP$VIPR1,Fibroblast,0.0,0.0,811
ATP1A1,KITLG,KIT,KITLG$KIT,Fibroblast,0.0,0.0,811
ATP1A1,SEMA3C,NRP1,SEMA3C$NRP1,Fibroblast,0.0,0.0,811
ATP1A1,GAS6,AXL,GAS6$AXL,Fibroblast,0.0,0.0,811
ATP1A1,GAS6,MERTK,GAS6$MERTK,Fibroblast,0.0,0.0,811
ATP1A1,GAS6,TYRO3,GAS6$TYRO3,Fibroblast,0.0,0.0,811
ATP1A1,GRN,SORT1,GRN$SORT1,Fibroblast,0.0,0.0,811
ATP1A1,GUCA2A,GUCY2C,GUCA2A$GUCY2C,Fibroblast,0.0,0.0,811
ATP1A1,PROS1,AXL,PROS1$AXL,Fibroblast,0.0,0.0,811
ATP1A1,BTLA,TNFRSF14,BTLA$TNFRSF14,Fibroblast,0.0,0.0,811
ATP1A1,LGALS9,HAVCR2,LGALS9$HAVCR2,Fibroblast,0.0,0.0,811
ATP1A1,LGALS9,CD44,LGALS9$CD44,Fibroblast,0.0,0.0,811
ATP1A1,LAMB3,ITGA3,LAMB3$ITGA3,Fibroblast,0.0,0.0,811
ATP1A1,COL6A2,ITGA3,COL6A2$ITGA3,Fibroblast,0.0,0.0,811
ATP1A1,LAMB3,ITGA6,LAMB3$ITGA6,Fibroblast,0.0,0.0,811
ATP1A1,LAMA3,ITGB4,LAMA3$ITGB4,Fibroblast,0.0,0.0,811
ATP1A1,LAMB3,ITGB4,LAMB3$ITGB4,Fibroblast,0.0,0.0,811
ATP1A1,THBS1,SDC4,THBS1$SDC4,Fibroblast,0.0,0.0,811
ATP1A1,CD99,CD99,CD99$CD99,Fibroblast,0.0,0.0,811
ATP1A1,CDH1,CDH1,CDH1$CDH1,Fibroblast,0.0,0.0,811
ATP1A1,CDH1,ITGA2,CDH1$ITGA2,Fibroblast,0.0,0.0,811
ATP1A1,F11R,F11R,F11R$F11R,Fibroblast,0.0,0.0,811
ATP1A1,HLA-DRA,CD4,HLA-DRA$CD4,Fibroblast,0.0,0.0,811
ATP1A1,HLA-DRB1,CD4,HLA-DRB1$CD4,Fibroblast,0.0,0.0,811
ATP1A1,MPZL1,MPZL1,MPZL1$MPZL1,Fibroblast,0.0,0.0,811
ATP1A1,OCLN,OCLN,OCLN$OCLN,Fibroblast,0.0,0.0,811
ATP1A1,TGFB2,ACVR1B,TGFB2$ACVR1B,IEC,3.046328e-07,8.959945e-09,4522
ATP1A1,BMP2,BMPR1A,BMP2$BMPR1A,IEC,2.1878166e-05,7.1363377e-07,4522
ATP1A1,BMP2,ACVR2A,BMP2$ACVR2A,IEC,2.2956883e-06,9.8416976e-08,4522
ATP1A1,BMP2,BMPR2,BMP2$BMPR2,IEC,9.587211e-06,2.0359518e-07,4522
ATP1A1,BMP2,BMPR1B,BMP2$BMPR1B,IEC,-2.799759e-07,1.0126986e-08,4522
ATP1A1,BMP4,BMPR1A,BMP4$BMPR1A,IEC,3.2879768e-06,9.1423935e-08,4522
ATP1A1,BMP4,ACVR2A,BMP4$ACVR2A,IEC,1.9459642e-06,5.777549e-08,4522
ATP1A1,BMP4,BMPR2,BMP4$BMPR2,IEC,8.095204e-06,2.6584388e-07,4522
ATP1A1,BMP6,ACVR2A,BMP6$ACVR2A,IEC,-3.532897e-07,4.835144e-09,4522
ATP1A1,BMP6,BMPR2,BMP6$BMPR2,IEC,2.9847051e-06,3.9101447e-08,4522
ATP1A1,BMP6,BMPR1A,BMP6$BMPR1A,IEC,3.4256087e-07,4.6705807e-08,4522
ATP1A1,GDF9,ACVR1B,GDF9$ACVR1B,IEC,3.1868064e-09,1.8386186e-10,4522
ATP1A1,GDF11,ACVR1B,GDF11$ACVR1B,IEC,1.6989922e-07,3.0372251e-09,4522
ATP1A1,MSTN,ACVR1B,MSTN$ACVR1B,IEC,3.5161247e-07,3.094451e-08,4522
ATP1A1,EGF,EGFR,EGF$EGFR,IEC,2.5705505e-08,9.99825e-09,4522
ATP1A1,EGF,ERBB2,EGF$ERBB2,IEC,9.941535e-07,3.80289e-08,4522
ATP1A1,TGFA,EGFR,TGFA$EGFR,IEC,2.8365794e-06,2.6426534e-08,4522
ATP1A1,TGFA,ERBB2,TGFA$ERBB2,IEC,3.5294408e-07,1.050041e-07,4522
ATP1A1,FGF2,FGFR2,FGF2$FGFR2,IEC,1.5683312e-07,6.77931e-09,4522
ATP1A1,FGF2,FGFR3,FGF2$FGFR3,IEC,5.8208195e-07,2.6727134e-08,4522
ATP1A1,FGF2,FGFR4,FGF2$FGFR4,IEC,-1.0462639e-08,1.4338801e-09,4522
ATP1A1,FGF4,FGFR2,FGF4$FGFR2,IEC,1.845303e-09,5.897842e-11,4522
ATP1A1,FGF4,FGFR3,FGF4$FGFR3,IEC,9.2993126e-08,9.555898e-10,4522
ATP1A1,FGF7,FGFR2,FGF7$FGFR2,IEC,4.102584e-06,3.1265213e-08,4522
ATP1A1,FGF9,FGFR2,FGF9$FGFR2,IEC,1.04942075e-07,4.692874e-09,4522
ATP1A1,FGF9,FGFR3,FGF9$FGFR3,IEC,3.6842528e-07,1.664545e-08,4522
ATP1A1,PDGFA,PDGFRA,PDGFA$PDGFRA,IEC,0.0,0.0,4522
ATP1A1,PDGFA,PDGFRB,PDGFA$PDGFRB,IEC,0.0,0.0,4522
ATP1A1,IGF1,ITGA6,IGF1$ITGA6,IEC,7.3823736e-07,2.0714161e-08,4522
ATP1A1,IGF1,ITGB4,IGF1$ITGB4,IEC,6.779609e-06,3.076242e-07,4522
ATP1A1,IHH,PTCH1,IHH$PTCH1,IEC,1.150148e-06,4.5812847e-08,4522
ATP1A1,CCL13,CCR1,CCL13$CCR1,IEC,0.0,0.0,4522
ATP1A1,CCL15,CCR1,CCL15$CCR1,IEC,0.0,0.0,4522
ATP1A1,CXCL12,ACKR3,CXCL12$ACKR3,IEC,0.0,0.0,4522
ATP1A1,IL7,IL2RG,IL7$IL2RG,IEC,2.6802008e-08,8.586872e-10,4522
ATP1A1,IL13,IL13RA1,IL13$IL13RA1,IEC,2.2315476e-06,1.0280917e-07,4522
ATP1A1,CSF1,CSF1R,CSF1$CSF1R,IEC,0.0,0.0,4522
ATP1A1,IL16,CD4,IL16$CD4,IEC,0.0,0.0,4522
ATP1A1,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,IEC,-4.248087e-09,1.3034982e-09,4522
ATP1A1,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,IEC,2.1717715e-06,2.521515e-08,4522
ATP1A1,ANGPTL4,SDC4,ANGPTL4$SDC4,IEC,1.2527194e-09,6.733856e-11,4522
ATP1A1,POSTN,ITGAV,POSTN$ITGAV,IEC,2.607452e-06,1.1368152e-07,4522
ATP1A1,POSTN,ITGB3,POSTN$ITGB3,IEC,0.0,0.0,4522
ATP1A1,POSTN,ITGB5,POSTN$ITGB5,IEC,2.5168667e-05,9.3910063e-07,4522
ATP1A1,CTSG,F2RL1,CTSG$F2RL1,IEC,3.0128075e-07,1.2807128e-08,4522
ATP1A1,PLG,F2RL1,PLG$F2RL1,IEC,1.7229316e-06,8.226895e-08,4522
ATP1A1,GZMA,F2RL1,GZMA$F2RL1,IEC,8.684551e-06,1.7296179e-07,4522
ATP1A1,VIP,VIPR1,VIP$VIPR1,IEC,1.6252025e-06,7.6651695e-08,4522
ATP1A1,KITLG,KIT,KITLG$KIT,IEC,-5.282533e-07,4.5070017e-08,4522
ATP1A1,SEMA3C,NRP1,SEMA3C$NRP1,IEC,1.0186381e-07,5.6822493e-09,4522
ATP1A1,GAS6,AXL,GAS6$AXL,IEC,-2.950364e-06,3.801761e-07,4522
ATP1A1,GAS6,MERTK,GAS6$MERTK,IEC,-1.1830335e-06,2.9119501e-08,4522
ATP1A1,GAS6,TYRO3,GAS6$TYRO3,IEC,3.1417148e-06,1.8135114e-07,4522
ATP1A1,GRN,SORT1,GRN$SORT1,IEC,5.346254e-06,2.7606313e-07,4522
ATP1A1,GUCA2A,GUCY2C,GUCA2A$GUCY2C,IEC,-7.469817e-05,3.504876e-06,4522
ATP1A1,PROS1,AXL,PROS1$AXL,IEC,0.0,0.0,4522
ATP1A1,BTLA,TNFRSF14,BTLA$TNFRSF14,IEC,-2.208467e-08,8.222841e-09,4522
ATP1A1,LGALS9,HAVCR2,LGALS9$HAVCR2,IEC,0.0,0.0,4522
ATP1A1,LGALS9,CD44,LGALS9$CD44,IEC,-5.024925e-06,1.1449408e-06,4522
