sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC29A1,within_other,Sodium,0.0032674092824468,0.0009990009990009,64622.008
Human_Cervical_Cancer,Tier1,other,other,SLC5A5,SLC5A5,within_other,Sodium | Urea,0.0032674092824468,0.0009990009990009,3432.514
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC5A1,within_other,Sodium,0.0032674092824468,0.0009990009990009,8414.824
Human_Cervical_Cancer,Tier1,other,other,SLC22A1,SLC22A1,within_other,Acetylcholine | Choline | Dopamine | Estradiol | N-desmethylimatinib | Norepinephrine | O-Desmethylverapamil (D-702) | Progesterone | Prostaglandins | Serotonin | Spermine | Taurocholic acid | Testosterone | Thymidine,0.0032674092824468,0.0009990009990009,453.10406
Human_Cervical_Cancer,Tier1,other,other,MSR1,MSR1,within_other,Fatty acid,0.0032674092824468,0.0009990009990009,43438.414
Human_Cervical_Cancer,Tier1,other,other,CD36,CD36,within_other,Cholesterol | Fatty acid | Vitamin D3,0.0032674092824468,0.0009990009990009,9538.101
Human_Cervical_Cancer,Tier1,other,other,CPT1A,CPT1A,within_other,Fatty acid,0.0032674092824468,0.0009990009990009,42399.812
Human_Cervical_Cancer,Tier1,other,other,CD36,MSR1,within_other,Fatty acid,0.0032674092824468,0.0009990009990009,9708.385
Human_Cervical_Cancer,Tier1,other,other,SLC6A1,SLC6A1,within_other,GABA,0.0032674092824468,0.0009990009990009,883.72534
Human_Cervical_Cancer,Tier1,other,other,ABCA1,ABCA1,within_other,25-Hydroxycholesterol,0.0032674092824468,0.0009990009990009,100446.555
Human_Cervical_Cancer,Tier1,other,other,ABCB1,ABCG2,within_other,5-Hydroxyomeprazole | Cholesterol | Cortisol | Estradiol | Hydroxylansoprazole | N-Desmethyltamoxifen | N-desmethylimatinib | O-Desmethylverapamil (D-702) | Taurocholic acid | Testosterone,0.0032674092824468,0.0009990009990009,2388.823
Human_Cervical_Cancer,Tier1,other,other,ABCG2,ABCG2,within_other,5-Hydroxyomeprazole | Cholesterol | Cortisol | Estradiol | Folic acid | Hydroxylansoprazole | N-Desmethyltamoxifen | N-desmethylimatinib | O-Desmethylverapamil (D-702) | Taurocholic acid | Testosterone,0.0032674092824468,0.0009990009990009,5195.3228
Human_Cervical_Cancer,Tier1,other,other,ABCB1,ABCB1,within_other,"17a-Ethynylestradiol | 2-Hydroxychlorpropamide | 3',4'-Dihydrodiol | 4'-Hydroxydiclofenac | 4-Hydroxycyclophosphamide | 5-Hydroxyomeprazole | 8-Hydroxycarvedilol | Cholesterol | Cholic acid | Cortisol | E-3179 | Estradiol | Estriol | Glycerol | Hydroxylansoprazole | N-Desmethylcitalopram | N-Desmethyleletriptan | N-Desmethyltamoxifen | N-desmethylimatinib | O-Deethylated candesartan | O-Desmethylverapamil (D-702) | Progesterone | Taurocholic acid | Testosterone",0.0032674092824468,0.0009990009990009,2798.248
Human_Cervical_Cancer,Tier1,other,other,SLC20A2,SLC20A2,within_other,Phosphate,0.0032674092824468,0.0009990009990009,15098.428
Human_Cervical_Cancer,Tier1,other,other,ATP7A,ATP7A,within_other,ADP | Adenosine triphosphate | Phosphate | Water,0.0032674092824468,0.0009990009990009,6186.6997
Human_Cervical_Cancer,Tier1,other,other,ATP7A,SLC20A2,within_other,Phosphate,0.0032674092824468,0.0009990009990009,7592.491
Human_Cervical_Cancer,Tier1,other,other,CHRNA5,CHRNA5,within_other,Ethanol,0.0032674092824468,0.0009990009990009,2348.3176
Human_Cervical_Cancer,Tier1,other,other,CHRNA5,SLC29A1,within_other,Ethanol,0.0032674092824468,0.0009990009990009,780.3719
Human_Cervical_Cancer,Tier1,other,other,ABCC3,FOLR1,within_other,Folic acid,0.0032674092824468,0.0009990009990009,483.16406
Human_Cervical_Cancer,Tier1,other,other,ABCC4,ABCC4,within_other,4'-Hydroxydiclofenac | Cholic acid | Cyclic AMP | Folic acid | Folinic acid | Glutathione | Hydroxycelecoxib | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0032674092824468,0.0009990009990009,2557.2588
Human_Cervical_Cancer,Tier1,other,other,FOLR2,FOLR2,within_other,Folic acid,0.0032674092824468,0.0009990009990009,1087.0626
Human_Cervical_Cancer,Tier1,other,other,FOLR1,FOLR1,within_other,5-Methyltetrahydrofolic acid | Folic acid,0.0032674092824468,0.0009990009990009,1881.6643
Human_Cervical_Cancer,Tier1,other,other,TRPV6,TRPV6,within_other,Heme,0.0032674092824468,0.0009990009990009,555.9335
Human_Cervical_Cancer,Tier1,other,other,LRP1,TRPV6,within_other,Heme,0.0032674092824468,0.0009990009990009,4789.7524
Human_Cervical_Cancer,Tier1,other,other,LRP1,LRP1,within_other,Heme,0.0032674092824468,0.0009990009990009,164962.84
Human_Cervical_Cancer,Tier1,other,other,SLC29A3,SLC29A3,within_other,Adenine,0.0032674092824468,0.0009990009990009,1688.4376
Human_Cervical_Cancer,Tier1,other,other,SLC15A1,SLC15A1,within_other,2-Hydroxychlorpropamide | Glycyl-glycine | L-Dopa,0.0032674092824468,0.0009990009990009,606.7991
Human_Cervical_Cancer,Tier1,other,other,CD38,CD38,within_other,Adenosine diphosphate ribose,0.0032674092824468,0.0009990009990009,3760.7002
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC12A6,within_other,Chloride ion,0.0032674092824468,0.0009990009990009,10194.88
Human_Cervical_Cancer,Tier1,other,other,SLC12A6,SLC12A6,within_other,Chloride ion,0.0032674092824468,0.0009990009990009,23600.514
Human_Cervical_Cancer,Tier1,other,other,ABCB1,ABCC4,within_other,4'-Hydroxydiclofenac | Cholic acid | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0032674092824468,0.0009990009990009,1471.5005
Human_Cervical_Cancer,Tier1,other,other,ABCC4,SLC16A1,within_other,Taurocholic acid,0.0032674092824468,0.0009990009990009,3378.3325
Human_Cervical_Cancer,Tier1,other,other,ABCC1,SLCO1B3,within_other,Cholic acid | Taurocholic acid,0.0032674092824468,0.0009990009990009,5259.4375
Human_Cervical_Cancer,Tier1,other,other,SLCO1B3,SLCO1B3,within_other,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid | 1b,3a,12a-Trihydroxy-5b-cholanoic acid | 3-Sulfodeoxycholic acid | 3alpha,7alpha-Dihydroxycoprostanic acid | 3b-Hydroxy-5-cholenoic acid | 4-Hydroxyvalsartan | Chenodeoxycholic acid | Chenodeoxycholic acid 3-sulfate | Cholic acid | Coprocholic acid | Dehydroepiandrosterone | Deoxycholic acid | Glycochenodeoxycholate-3-sulfate | Hyodeoxycholic acid | Isoursodeoxycholic acid | Lithocholic acid | Sulfolithocholic acid | Taurocholic acid | Trihydroxycoprostanoic acid | Ursocholic acid | Ursodeoxycholic acid | Ursodeoxycholic acid 3-sulfate | Varanic acid",0.0032674092824468,0.0009990009990009,5362.8115
Human_Cervical_Cancer,Tier1,other,other,ABCC1,SLC16A1,within_other,Taurocholic acid,0.0032674092824468,0.0009990009990009,27818.545
Human_Cervical_Cancer,Tier1,other,other,ABCC1,ABCC4,within_other,4'-Hydroxydiclofenac | Cholic acid | Glutathione | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0032674092824468,0.0009990009990009,12828.73
Human_Cervical_Cancer,Tier1,other,other,ABCC1,ABCC1,within_other,4'-Hydroxydiclofenac | Cholic acid | Glutathione | Leukotriene C4 | O-Desmethylverapamil (D-702) | Progesterone | Taurocholic acid,0.0032674092824468,0.0009990009990009,114282.78
Human_Cervical_Cancer,Tier1,other,other,ABCC1,ABCC3,within_other,Cholic acid | Glutathione | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0032674092824468,0.0009990009990009,5370.5176
