gene,metabolite,cell_type,mean,std,n
CD3E,Cadmium,Fibroblast,0.0,0.0,811
CD3E,Manganese,Fibroblast,0.0,0.0,811
CD3E,Acetyl-L-Carnitine,Fibroblast,0.0,0.0,811
CD3E,L-Carnitine,Fibroblast,0.0,0.0,811
CD3E,Sodium,Fibroblast,0.0,0.0,811
CD3E,Acetate,Fibroblast,0.0,0.0,811
CD3E,L-Leucine,Fibroblast,0.0,0.0,811
CD3E,L-Arginine,Fibroblast,0.0,0.0,811
CD3E,Fatty acid,Fibroblast,0.0,0.0,811
CD3E,Creatine,Fibroblast,0.0,0.0,811
CD3E,Choline,Fibroblast,0.0,0.0,811
CD3E,25-Hydroxycholesterol,Fibroblast,0.0,0.0,811
CD3E,Cholesterol,Fibroblast,0.0,0.0,811
CD3E,Dopamine,Fibroblast,0.0,0.0,811
CD3E,Folic acid,Fibroblast,0.0,0.0,811
CD3E,Heme,Fibroblast,0.0,0.0,811
CD3E,Citric acid|Oxalic acid,Fibroblast,0.0,0.0,811
CD3E,Norepinephrine,Fibroblast,0.0,0.0,811
CD3E,Histamine,Fibroblast,0.0,0.0,811
CD3E,Urea,Fibroblast,0.0,0.0,811
CD3E,Adenosine diphosphate ribose,Fibroblast,0.0,0.0,811
CD3E,Chloride ion,Fibroblast,0.0,0.0,811
CD3E,Taurocholic acid,Fibroblast,0.0,0.0,811
CD3E,Cyclic AMP|Hydroxycelecoxib,Fibroblast,0.0,0.0,811
CD3E,Cortisol|N-Desmethyltamoxifen|Hydroxylansoprazole,Fibroblast,0.0,0.0,811
CD3E,Glutathione,Fibroblast,0.0,0.0,811
CD3E,Glycerol|Estriol|O-Deethylated candesartan|E-3179|4-Hydroxycyclophosphamide|N-Desmethyleletriptan|8-Hydroxycarvedilol,Fibroblast,0.0,0.0,811
CD3E,Estradiol,Fibroblast,0.0,0.0,811
CD3E,Testosterone,Fibroblast,0.0,0.0,811
